sbspcsn,Order,familis,long,lat,SITECODE,SITENAME,RELEASE_DA,MS,SITETYPE,INSPIRE_ID,PER.x,Code_18,Remark,Area_Ha,ID,GRID_CODE,LABEL1,LABEL2,LABEL3,RGB,hex,PER.y,elevation,hilda_transition,hilda_2018,hilda_1998
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.8657,34.9871,,,,,,,,"323",,1273.24253480981,EU_662061,28,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Sclerophyllous vegetation,166-230-077,#A6E64D,ะ. สัวิวำ,500.663696289062,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.7595,35.1882,GR4330005,"OROS IDI (VORIZIA, GERANOI, KALI MADARA)",2021/12/14,GR,B,,ะ. สัวิวำ,"324",,415.494055325059,EU_667224,29,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Transitional woodland-shrub,166-242-000,#A6F200,ะ. สัวิวำ,986.906066894531,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.7844,35.3497,,,,,,,,"243",,164.336819509976,EU_645650,21,Agricultural areas,Heterogeneous agricultural areas,"Land principally occupied by agriculture, with significant areas of natural vegetation",230-204-077,#E6CC4D,ะ. สัวิวำ,152.539886474609,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.8286,34.9425,,,,,,,,"243",,52.6650772550013,EU_645249,21,Agricultural areas,Heterogeneous agricultural areas,"Land principally occupied by agriculture, with significant areas of natural vegetation",230-204-077,#E6CC4D,ะ. สัวิวำ,67.8631973266602,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.9458,34.9933,,,,,,,,"321",,133.219586154946,EU_658291,26,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Natural grasslands,204-242-077,#CCF24D,ะ. สัวิวำ,339.154205322266,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.9107,35.1416,,,,,,,,"321",,252.06439036502,EU_658392,26,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Natural grasslands,204-242-077,#CCF24D,ะ. สัวิวำ,509.886169433594,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.8657,34.9871,,,,,,,,"323",,1273.24253480981,EU_662061,28,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Sclerophyllous vegetation,166-230-077,#A6E64D,ะ. สัวิวำ,500.663696289062,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.8657,34.9871,,,,,,,,"323",,1273.24253480981,EU_662061,28,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Sclerophyllous vegetation,166-230-077,#A6E64D,ะ. สัวิวำ,500.663696289062,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.8657,34.9871,,,,,,,,"323",,1273.24253480981,EU_662061,28,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Sclerophyllous vegetation,166-230-077,#A6E64D,ะ. สัวิวำ,500.663696289062,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.9313,35.1629,GR4330005,"OROS IDI (VORIZIA, GERANOI, KALI MADARA)",2021/12/14,GR,B,,ะ. สัวิวำ,"312",,464.467138375029,EU_654077,24,Forest and semi natural areas,Forests,Coniferous forest,000-166-000,#00A600,ะ. สัวิวำ,1082.18432617188,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,23.5692,35.5112,GR4340001,"IMERI KAI AGRIA GRAMVOUSSA - TIGANI KAI FALASARNA - PONTIKONISI, ORMOS LIVADI - VIGLIA",2021/12/14,GR,B,,ะ. สัวิวำ,"323",,29.8293753750154,EU_662407,28,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Sclerophyllous vegetation,166-230-077,#A6E64D,ะ. สัวิวำ,12.1787691116333,0,0,0
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.6262,35.1307,,,,,,,,"323",,529.370420030103,EU_662119,28,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Sclerophyllous vegetation,166-230-077,#A6E64D,ะ. สัวิวำ,415.070861816406,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.279,35.3269,GR4340010,DRAPANO (VOREIOANATOLIKES AKTES) โ€“ PARALIA GEORGIOUPOLIS โ€“ LIMNI KOURNA - SPILAIO PSIMAKI,2021/12/14,GR,B,,ะ. สัวิวำ,"512",,67.6812584999794,EU_674255,41,Water bodies,Inland waters,Water bodies,128-242-230,#80F2E6,ะ. สัวิวำ,10.6300001144409,33,33,33
