order	family	genus	scientificName	decimalLatitude	decimalLongitude	SITECODE	SITENAME	RELEASE_DA	MS	SITETYPE	INSPIRE_ID	PER.x	Code_18	Remark	Area_Ha	ID	GRID_CODE	LABEL1	LABEL2	LABEL3	RGB	hex	PER.y	elevation	hilda_transition	hilda_2018	hilda_1998	hilda_transition.1	hilda_2018.1	hilda_1998.1
Orthoptera	Rhaphidophoridae	Troglophilus	Troglophilus spinulosus	35.589	24.1438	NA	NA	NA	NA	NA	NA	NA	323	NA	1542.7897399151764	EU_662543	28	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Sclerophyllous vegetation	166-230-077	#A6E64D	ะ. สัวิวำ	199.55157470703125	33	33	33	33	33	33
Araneae	Gnaphosidae	Zelotes	Zelotes chaniaensis	35.5864	23.5955	GR4340001	IMERI KAI AGRIA GRAMVOUSSA - TIGANI KAI FALASARNA - PONTIKONISI, ORMOS LIVADI - VIGLIA	2021-12-14	GR	B	NA	ะ. สัวิวำ	321	NA	1256.0909450849065	EU_658678	26	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Natural grasslands	204-242-077	#CCF24D	ะ. สัวิวำ	130.5460968017578	77	77	77	77	77	77
Araneae	Gnaphosidae	Zelotes	Zelotes daidalus	35.5864	23.5955	GR4340001	IMERI KAI AGRIA GRAMVOUSSA - TIGANI KAI FALASARNA - PONTIKONISI, ORMOS LIVADI - VIGLIA	2021-12-14	GR	B	NA	ะ. สัวิวำ	321	NA	1256.0909450849065	EU_658678	26	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Natural grasslands	204-242-077	#CCF24D	ะ. สัวิวำ	130.5460968017578	77	77	77	77	77	77
Araneae	Gnaphosidae	Zelotes	Zelotes minous	35.5864	23.5955	GR4340001	IMERI KAI AGRIA GRAMVOUSSA - TIGANI KAI FALASARNA - PONTIKONISI, ORMOS LIVADI - VIGLIA	2021-12-14	GR	B	NA	ะ. สัวิวำ	321	NA	1256.0909450849065	EU_658678	26	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Natural grasslands	204-242-077	#CCF24D	ะ. สัวิวำ	130.5460968017578	77	77	77	77	77	77
Coleoptera	Tenebrionidae	Dailognatha	Dailognatha quadricollis plicata	35.5864	23.5955	GR4340001	IMERI KAI AGRIA GRAMVOUSSA - TIGANI KAI FALASARNA - PONTIKONISI, ORMOS LIVADI - VIGLIA	2021-12-14	GR	B	NA	ะ. สัวิวำ	321	NA	1256.0909450849065	EU_658678	26	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Natural grasslands	204-242-077	#CCF24D	ะ. สัวิวำ	130.5460968017578	77	77	77	77	77	77
Coleoptera	Tenebrionidae	Dendarus	Dendarus opacus	35.5864	23.5955	GR4340001	IMERI KAI AGRIA GRAMVOUSSA - TIGANI KAI FALASARNA - PONTIKONISI, ORMOS LIVADI - VIGLIA	2021-12-14	GR	B	NA	ะ. สัวิวำ	321	NA	1256.0909450849065	EU_658678	26	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Natural grasslands	204-242-077	#CCF24D	ะ. สัวิวำ	130.5460968017578	77	77	77	77	77	77
Lepidoptera	Geometridae	Rhodostrophia	Rhodostrophia cretacaria	35.5864	23.5955	GR4340001	IMERI KAI AGRIA GRAMVOUSSA - TIGANI KAI FALASARNA - PONTIKONISI, ORMOS LIVADI - VIGLIA	2021-12-14	GR	B	NA	ะ. สัวิวำ	321	NA	1256.0909450849065	EU_658678	26	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Natural grasslands	204-242-077	#CCF24D	ะ. สัวิวำ	130.5460968017578	77	77	77	77	77	77
Araneae	Agelenidae	Maimuna	Maimuna cretica	35.5841	24.1405	NA	NA	NA	NA	NA	NA	NA	323	NA	1542.7897399151764	EU_662543	28	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Sclerophyllous vegetation	166-230-077	#A6E64D	ะ. สัวิวำ	268.90887451171875	33	33	33	33	33	33
Araneae	Agelenidae	Malthonica	Malthonica minoa	35.5841	24.1405	NA	NA	NA	NA	NA	NA	NA	323	NA	1542.7897399151764	EU_662543	28	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Sclerophyllous vegetation	166-230-077	#A6E64D	ะ. สัวิวำ	268.90887451171875	33	33	33	33	33	33
Araneae	Nemesiidae	Nemesia	Nemesia daedali	35.5841	24.1405	NA	NA	NA	NA	NA	NA	NA	323	NA	1542.7897399151764	EU_662543	28	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Sclerophyllous vegetation	166-230-077	#A6E64D	ะ. สัวิวำ	268.90887451171875	33	33	33	33	33	33
Coleoptera	Buprestidae	Acmaeodera	Acmaeodera flavolineata piloselloides	35.5841	24.1405	NA	NA	NA	NA	NA	NA	NA	323	NA	1542.7897399151764	EU_662543	28	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Sclerophyllous vegetation	166-230-077	#A6E64D	ะ. สัวิวำ	268.90887451171875	33	33	33	33	33	33
Coleoptera	Buprestidae	Acmaeodera	Acmaeodera saxicola minoa	35.5841	24.1405	NA	NA	NA	NA	NA	NA	NA	323	NA	1542.7897399151764	EU_662543	28	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Sclerophyllous vegetation	166-230-077	#A6E64D	ะ. สัวิวำ	268.90887451171875	33	33	33	33	33	33
Coleoptera	Tenebrionidae	Raiboscelis	Raiboscelis corvinus corvinus	35.5841	24.1405	NA	NA	NA	NA	NA	NA	NA	323	NA	1542.7897399151764	EU_662543	28	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Sclerophyllous vegetation	166-230-077	#A6E64D	ะ. สัวิวำ	268.90887451171875	33	33	33	33	33	33
Heteroptera	Miridae	Orthonotus	Orthonotus creticus	35.5841	24.1405	NA	NA	NA	NA	NA	NA	NA	323	NA	1542.7897399151764	EU_662543	28	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Sclerophyllous vegetation	166-230-077	#A6E64D	ะ. สัวิวำ	268.90887451171875	33	33	33	33	33	33
Heteroptera	Pentatomidae	Acrosternum	Acrosternum malickyi	35.5841	24.1405	NA	NA	NA	NA	NA	NA	NA	323	NA	1542.7897399151764	EU_662543	28	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Sclerophyllous vegetation	166-230-077	#A6E64D	ะ. สัวิวำ	268.90887451171875	33	33	33	33	33	33
Orthoptera	Rhaphidophoridae	Troglophilus	Troglophilus spinulosus	35.5841	24.1405	NA	NA	NA	NA	NA	NA	NA	323	NA	1542.7897399151764	EU_662543	28	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Sclerophyllous vegetation	166-230-077	#A6E64D	ะ. สัวิวำ	268.90887451171875	33	33	33	33	33	33
Orthoptera	Rhaphidophoridae	Troglophilus	Troglophilus spinulosus	35.5836	23.777	GR4340003	CHERSONISOS RODOPOU โ€“ PARALIA MALEME -KOLPOS CHANION	2021-12-14	GR	B	NA	ะ. สัวิวำ	323	NA	90.71325621500371	EU_662515	28	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Sclerophyllous vegetation	166-230-077	#A6E64D	ะ. สัวิวำ	22.966184616088867	77	77	77	77	77	77
Orthoptera	Tettigoniidae	Eupholidoptera	Eupholidoptera latens	35.5812	23.7526	GR4340003	CHERSONISOS RODOPOU โ€“ PARALIA MALEME -KOLPOS CHANION	2021-12-14	GR	B	NA	ะ. สัวิวำ	242	NA	35.75112003999835	EU_641557	20	Agricultural areas	Heterogeneous agricultural areas	Complex cultivation patterns	255-230-077	#FFE64D	ะ. สัวิวำ	393.9504089355469	33	33	33	33	33	33
Araneae	Salticidae	Aelurillus	Aelurillus leipoldae	35.5738	23.7676	GR4340003	CHERSONISOS RODOPOU โ€“ PARALIA MALEME -KOLPOS CHANION	2021-12-14	GR	B	NA	ะ. สัวิวำ	242	NA	47.30910328999247	EU_641551	20	Agricultural areas	Heterogeneous agricultural areas	Complex cultivation patterns	255-230-077	#FFE64D	ะ. สัวิวำ	106.84368896484375	33	33	33	33	33	33
Araneae	Zodariidae	Zodarion	Zodarion albipatellarae	35.5738	23.7676	GR4340003	CHERSONISOS RODOPOU โ€“ PARALIA MALEME -KOLPOS CHANION	2021-12-14	GR	B	NA	ะ. สัวิวำ	242	NA	47.30910328999247	EU_641551	20	Agricultural areas	Heterogeneous agricultural areas	Complex cultivation patterns	255-230-077	#FFE64D	ะ. สัวิวำ	106.84368896484375	33	33	33	33	33	33
Araneae	Gnaphosidae	Zelotes	Zelotes minous	35.5729	23.5941	GR4340001	IMERI KAI AGRIA GRAMVOUSSA - TIGANI KAI FALASARNA - PONTIKONISI, ORMOS LIVADI - VIGLIA	2021-12-14	GR	B	NA	ะ. สัวิวำ	321	NA	1256.0909450849065	EU_658678	26	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Natural grasslands	204-242-077	#CCF24D	ะ. สัวิวำ	383.5668029785156	33	33	33	33	33	33
Coleoptera	Tenebrionidae	Dailognatha	Dailognatha quadricollis rugata	35.5729	23.5941	GR4340001	IMERI KAI AGRIA GRAMVOUSSA - TIGANI KAI FALASARNA - PONTIKONISI, ORMOS LIVADI - VIGLIA	2021-12-14	GR	B	NA	ะ. สัวิวำ	321	NA	1256.0909450849065	EU_658678	26	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Natural grasslands	204-242-077	#CCF24D	ะ. สัวิวำ	383.5668029785156	33	33	33	33	33	33
Coleoptera	Tenebrionidae	Dendarus	Dendarus opacus	35.5729	23.5941	GR4340001	IMERI KAI AGRIA GRAMVOUSSA - TIGANI KAI FALASARNA - PONTIKONISI, ORMOS LIVADI - VIGLIA	2021-12-14	GR	B	NA	ะ. สัวิวำ	321	NA	1256.0909450849065	EU_658678	26	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Natural grasslands	204-242-077	#CCF24D	ะ. สัวิวำ	383.5668029785156	33	33	33	33	33	33
Coleoptera	Tenebrionidae	Raiboscelis	Raiboscelis corvinus corvinus	35.5729	23.5941	GR4340001	IMERI KAI AGRIA GRAMVOUSSA - TIGANI KAI FALASARNA - PONTIKONISI, ORMOS LIVADI - VIGLIA	2021-12-14	GR	B	NA	ะ. สัวิวำ	321	NA	1256.0909450849065	EU_658678	26	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Natural grasslands	204-242-077	#CCF24D	ะ. สัวิวำ	383.5668029785156	33	33	33	33	33	33
Araneae	Agelenidae	Maimuna	Maimuna cretica	35.5616	23.755	GR4340003	CHERSONISOS RODOPOU โ€“ PARALIA MALEME -KOLPOS CHANION	2021-12-14	GR	B	NA	ะ. สัวิวำ	112	NA	29.00887544499858	EU_630126	2	Artificial surfaces	Urban fabric	Discontinuous urban fabric	255-000-000	#FF0000	ะ. สัวิวำ	245.0437774658203	33	33	33	33	33	33
Araneae	Salticidae	Heliophanus	Heliophanus creticus	35.5616	23.755	GR4340003	CHERSONISOS RODOPOU โ€“ PARALIA MALEME -KOLPOS CHANION	2021-12-14	GR	B	NA	ะ. สัวิวำ	112	NA	29.00887544499858	EU_630126	2	Artificial surfaces	Urban fabric	Discontinuous urban fabric	255-000-000	#FF0000	ะ. สัวิวำ	245.0437774658203	33	33	33	33	33	33
Coleoptera	Buprestidae	Acmaeodera	Acmaeodera flavolineata piloselloides	35.5616	23.755	GR4340003	CHERSONISOS RODOPOU โ€“ PARALIA MALEME -KOLPOS CHANION	2021-12-14	GR	B	NA	ะ. สัวิวำ	112	NA	29.00887544499858	EU_630126	2	Artificial surfaces	Urban fabric	Discontinuous urban fabric	255-000-000	#FF0000	ะ. สัวิวำ	245.0437774658203	33	33	33	33	33	33
Orthoptera	Tettigoniidae	Eupholidoptera	Eupholidoptera latens	35.5614	23.7586	GR4340003	CHERSONISOS RODOPOU โ€“ PARALIA MALEME -KOLPOS CHANION	2021-12-14	GR	B	NA	ะ. สัวิวำ	321	NA	875.2354871550197	EU_658680	26	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Natural grasslands	204-242-077	#CCF24D	ะ. สัวิวำ	310.871826171875	33	33	33	33	33	33
Orthoptera	Pamphagidae	Orchamus	Orchamus raulinii	35.5607	24.1351	NA	NA	NA	NA	NA	NA	NA	242	NA	46.192506505024035	EU_641563	20	Agricultural areas	Heterogeneous agricultural areas	Complex cultivation patterns	255-230-077	#FFE64D	ะ. สัวิวำ	86.5265121459961	33	33	33	33	33	33
Chilopoda	Scolopendridae	Scolopendra	Scolopendra cretica	35.5607	24.1649	NA	NA	NA	NA	NA	NA	NA	321	NA	608.2883799049663	EU_658689	26	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Natural grasslands	204-242-077	#CCF24D	ะ. สัวิวำ	325.6689758300781	33	33	33	33	33	33
Araneae	Agelenidae	Maimuna	Maimuna cretica	35.56	24.1346	NA	NA	NA	NA	NA	NA	NA	242	NA	46.192506505024035	EU_641563	20	Agricultural areas	Heterogeneous agricultural areas	Complex cultivation patterns	255-230-077	#FFE64D	ะ. สัวิวำ	75.9646987915039	33	33	33	33	33	33
Araneae	Agelenidae	Malthonica	Malthonica minoa	35.56	24.1346	NA	NA	NA	NA	NA	NA	NA	242	NA	46.192506505024035	EU_641563	20	Agricultural areas	Heterogeneous agricultural areas	Complex cultivation patterns	255-230-077	#FFE64D	ะ. สัวิวำ	75.9646987915039	33	33	33	33	33	33
Araneae	Dysderidae	Dysdera	Dysdera gigas	35.56	24.1346	NA	NA	NA	NA	NA	NA	NA	242	NA	46.192506505024035	EU_641563	20	Agricultural areas	Heterogeneous agricultural areas	Complex cultivation patterns	255-230-077	#FFE64D	ะ. สัวิวำ	75.9646987915039	33	33	33	33	33	33
Araneae	Dysderidae	Harpactea	Harpactea cressa	35.56	24.1346	NA	NA	NA	NA	NA	NA	NA	242	NA	46.192506505024035	EU_641563	20	Agricultural areas	Heterogeneous agricultural areas	Complex cultivation patterns	255-230-077	#FFE64D	ะ. สัวิวำ	75.9646987915039	33	33	33	33	33	33
Araneae	Linyphiidae	Walckenaeria	Walckenaeria cretaensis	35.56	24.1346	NA	NA	NA	NA	NA	NA	NA	242	NA	46.192506505024035	EU_641563	20	Agricultural areas	Heterogeneous agricultural areas	Complex cultivation patterns	255-230-077	#FFE64D	ะ. สัวิวำ	75.9646987915039	33	33	33	33	33	33
Araneae	Theridiidae	Theridion	Theridion helena	35.56	24.1346	NA	NA	NA	NA	NA	NA	NA	242	NA	46.192506505024035	EU_641563	20	Agricultural areas	Heterogeneous agricultural areas	Complex cultivation patterns	255-230-077	#FFE64D	ะ. สัวิวำ	75.9646987915039	33	33	33	33	33	33
Coleoptera	Buprestidae	Acmaeodera	Acmaeodera saxicola minoa	35.56	24.1346	NA	NA	NA	NA	NA	NA	NA	242	NA	46.192506505024035	EU_641563	20	Agricultural areas	Heterogeneous agricultural areas	Complex cultivation patterns	255-230-077	#FFE64D	ะ. สัวิวำ	75.9646987915039	33	33	33	33	33	33
Coleoptera	Buprestidae	Julodis	Julodis pubescens yvenii	35.56	24.1346	NA	NA	NA	NA	NA	NA	NA	242	NA	46.192506505024035	EU_641563	20	Agricultural areas	Heterogeneous agricultural areas	Complex cultivation patterns	255-230-077	#FFE64D	ะ. สัวิวำ	75.9646987915039	33	33	33	33	33	33
Coleoptera	Tenebrionidae	Dendarus	Dendarus opacus	35.56	24.1346	NA	NA	NA	NA	NA	NA	NA	242	NA	46.192506505024035	EU_641563	20	Agricultural areas	Heterogeneous agricultural areas	Complex cultivation patterns	255-230-077	#FFE64D	ะ. สัวิวำ	75.9646987915039	33	33	33	33	33	33
Coleoptera	Tenebrionidae	Tentyria	Tentyria rotundata paganettii	35.56	24.1346	NA	NA	NA	NA	NA	NA	NA	242	NA	46.192506505024035	EU_641563	20	Agricultural areas	Heterogeneous agricultural areas	Complex cultivation patterns	255-230-077	#FFE64D	ะ. สัวิวำ	75.9646987915039	33	33	33	33	33	33
Orthoptera	Tettigoniidae	Eupholidoptera	Eupholidoptera latens	35.56	23.777	GR4340003	CHERSONISOS RODOPOU โ€“ PARALIA MALEME -KOLPOS CHANION	2021-12-14	GR	B	NA	ะ. สัวิวำ	321	NA	875.2354871550197	EU_658680	26	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Natural grasslands	204-242-077	#CCF24D	ะ. สัวิวำ	33.46781539916992	33	33	33	33	33	33
Orthoptera	Rhaphidophoridae	Troglophilus	Troglophilus spinulosus	35.56	24.16	NA	NA	NA	NA	NA	NA	NA	321	NA	608.2883799049663	EU_658689	26	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Natural grasslands	204-242-077	#CCF24D	ะ. สัวิวำ	211.7599334716797	33	33	33	33	33	33
Araneae	Gnaphosidae	Zelotes	Zelotes chaniaensis	35.5584	23.6061	GR4340001	IMERI KAI AGRIA GRAMVOUSSA - TIGANI KAI FALASARNA - PONTIKONISI, ORMOS LIVADI - VIGLIA	2021-12-14	GR	B	NA	ะ. สัวิวำ	321	NA	1256.0909450849065	EU_658678	26	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Natural grasslands	204-242-077	#CCF24D	ะ. สัวิวำ	145.1067657470703	33	33	33	33	33	33
Araneae	Gnaphosidae	Zelotes	Zelotes daidalus	35.5584	23.6061	GR4340001	IMERI KAI AGRIA GRAMVOUSSA - TIGANI KAI FALASARNA - PONTIKONISI, ORMOS LIVADI - VIGLIA	2021-12-14	GR	B	NA	ะ. สัวิวำ	321	NA	1256.0909450849065	EU_658678	26	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Natural grasslands	204-242-077	#CCF24D	ะ. สัวิวำ	145.1067657470703	33	33	33	33	33	33
Coleoptera	Tenebrionidae	Dailognatha	Dailognatha quadricollis rugata	35.5584	23.6061	GR4340001	IMERI KAI AGRIA GRAMVOUSSA - TIGANI KAI FALASARNA - PONTIKONISI, ORMOS LIVADI - VIGLIA	2021-12-14	GR	B	NA	ะ. สัวิวำ	321	NA	1256.0909450849065	EU_658678	26	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Natural grasslands	204-242-077	#CCF24D	ะ. สัวิวำ	145.1067657470703	33	33	33	33	33	33
Coleoptera	Tenebrionidae	Dendarus	Dendarus opacus	35.5584	23.6061	GR4340001	IMERI KAI AGRIA GRAMVOUSSA - TIGANI KAI FALASARNA - PONTIKONISI, ORMOS LIVADI - VIGLIA	2021-12-14	GR	B	NA	ะ. สัวิวำ	321	NA	1256.0909450849065	EU_658678	26	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Natural grasslands	204-242-077	#CCF24D	ะ. สัวิวำ	145.1067657470703	33	33	33	33	33	33
Coleoptera	Tenebrionidae	Raiboscelis	Raiboscelis corvinus corvinus	35.5584	23.6061	GR4340001	IMERI KAI AGRIA GRAMVOUSSA - TIGANI KAI FALASARNA - PONTIKONISI, ORMOS LIVADI - VIGLIA	2021-12-14	GR	B	NA	ะ. สัวิวำ	321	NA	1256.0909450849065	EU_658678	26	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Natural grasslands	204-242-077	#CCF24D	ะ. สัวิวำ	145.1067657470703	33	33	33	33	33	33
Hymenoptera	Formicidae	Monomorium	Monomorium creticum	35.5583	23.6058	GR4340001	IMERI KAI AGRIA GRAMVOUSSA - TIGANI KAI FALASARNA - PONTIKONISI, ORMOS LIVADI - VIGLIA	2021-12-14	GR	B	NA	ะ. สัวิวำ	321	NA	1256.0909450849065	EU_658678	26	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Natural grasslands	204-242-077	#CCF24D	ะ. สัวิวำ	148.79942321777344	33	33	33	33	33	33
Orthoptera	Tettigoniidae	Eupholidoptera	Eupholidoptera latens	35.5572	23.7753	GR4340003	CHERSONISOS RODOPOU โ€“ PARALIA MALEME -KOLPOS CHANION	2021-12-14	GR	B	NA	ะ. สัวิวำ	321	NA	875.2354871550197	EU_658680	26	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Natural grasslands	204-242-077	#CCF24D	ะ. สัวิวำ	57.08192825317383	33	33	33	33	33	33
Orthoptera	Rhaphidophoridae	Troglophilus	Troglophilus spinulosus	35.5525	23.7767	GR4340003	CHERSONISOS RODOPOU โ€“ PARALIA MALEME -KOLPOS CHANION	2021-12-14	GR	B	NA	ะ. สัวิวำ	243	NA	138.9179613098838	EU_645679	21	Agricultural areas	Heterogeneous agricultural areas	Land principally occupied by agriculture, with significant areas of natural vegetation	230-204-077	#E6CC4D	ะ. สัวิวำ	27.66741180419922	33	33	33	33	33	33
Orthoptera	Tettigoniidae	Eupholidoptera	Eupholidoptera giuliae	35.5525	24.1769	NA	NA	NA	NA	NA	NA	NA	321	NA	608.2883799049663	EU_658689	26	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Natural grasslands	204-242-077	#CCF24D	ะ. สัวิวำ	387.28985595703125	33	33	33	33	33	33
Orthoptera	Rhaphidophoridae	Troglophilus	Troglophilus spinulosus	35.5524	23.7767	GR4340003	CHERSONISOS RODOPOU โ€“ PARALIA MALEME -KOLPOS CHANION	2021-12-14	GR	B	NA	ะ. สัวิวำ	243	NA	138.9179613098838	EU_645679	21	Agricultural areas	Heterogeneous agricultural areas	Land principally occupied by agriculture, with significant areas of natural vegetation	230-204-077	#E6CC4D	ะ. สัวิวำ	27.66741180419922	33	33	33	33	33	33
Araneae	Agelenidae	Maimuna	Maimuna cretica	35.5501	24.0844	NA	NA	NA	NA	NA	NA	NA	112	NA	51.52598475997872	EU_630143	2	Artificial surfaces	Urban fabric	Discontinuous urban fabric	255-000-000	#FF0000	ะ. สัวิวำ	37.176883697509766	0	0	0	0	0	0
Araneae	Pholcidae	Pholcus	Pholcus creticus	35.5501	24.0844	NA	NA	NA	NA	NA	NA	NA	112	NA	51.52598475997872	EU_630143	2	Artificial surfaces	Urban fabric	Discontinuous urban fabric	255-000-000	#FF0000	ะ. สัวิวำ	37.176883697509766	0	0	0	0	0	0
Coleoptera	Tenebrionidae	Blaps	Blaps cretensis	35.5354	24.077	NA	NA	NA	NA	NA	NA	NA	112	NA	212.8176693251097	EU_630137	2	Artificial surfaces	Urban fabric	Discontinuous urban fabric	255-000-000	#FF0000	ะ. สัวิวำ	114.8871078491211	11	11	11	11	11	11
Coleoptera	Tenebrionidae	Dendarus	Dendarus opacus	35.5354	24.077	NA	NA	NA	NA	NA	NA	NA	112	NA	212.8176693251097	EU_630137	2	Artificial surfaces	Urban fabric	Discontinuous urban fabric	255-000-000	#FF0000	ะ. สัวิวำ	114.8871078491211	11	11	11	11	11	11
Coleoptera	Tenebrionidae	Erodius	Erodius orientalis boyeri	35.5354	24.077	NA	NA	NA	NA	NA	NA	NA	112	NA	212.8176693251097	EU_630137	2	Artificial surfaces	Urban fabric	Discontinuous urban fabric	255-000-000	#FF0000	ะ. สัวิวำ	114.8871078491211	11	11	11	11	11	11
Coleoptera	Tenebrionidae	Phymatiotris	Phymatiotris quadricollis cretica	35.5354	24.077	NA	NA	NA	NA	NA	NA	NA	112	NA	212.8176693251097	EU_630137	2	Artificial surfaces	Urban fabric	Discontinuous urban fabric	255-000-000	#FF0000	ะ. สัวิวำ	114.8871078491211	11	11	11	11	11	11
Coleoptera	Tenebrionidae	Pimelia	Pimelia sericella	35.5354	24.077	NA	NA	NA	NA	NA	NA	NA	112	NA	212.8176693251097	EU_630137	2	Artificial surfaces	Urban fabric	Discontinuous urban fabric	255-000-000	#FF0000	ะ. สัวิวำ	114.8871078491211	11	11	11	11	11	11
Heteroptera	Lygaeidae	Rhyparochromus	Rhyparochromus creticus	35.5354	24.077	NA	NA	NA	NA	NA	NA	NA	112	NA	212.8176693251097	EU_630137	2	Artificial surfaces	Urban fabric	Discontinuous urban fabric	255-000-000	#FF0000	ะ. สัวิวำ	114.8871078491211	11	11	11	11	11	11
