internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
66081622,Brachypelma emilia,"Eurypelma emilia (White, 1856)",Eurypelma,emilia,"(White, 1856)",,
66081622,Brachypelma emilia,"Euathlus emilia (White, 1856)",Euathlus,emilia,"(White, 1856)",,
66081622,Brachypelma emilia,"Mygale emilia White, 1856",Mygale,emilia,"White, 1856",,
66081696,Brachypelma epicureanum,"Dugesiella  epicureana  (Chamberlin, 1925)",Dugesiella ,epicureana," (Chamberlin, 1925)",,
66081696,Brachypelma epicureanum,"Rhechostica  epicureana  (Chamberlin, 1925)",Rhechostica, epicureana ,"(Chamberlin, 1925)",,
66081696,Brachypelma epicureanum,"Avicularia  epicureana  (Chamberlin, 1925)",Avicularia ,epicureana ,"(Chamberlin, 1925)",,
66081696,Brachypelma epicureanum,"Aphonopelma  epicureanum  (Chamberlin, 1925)",Aphonopelma ,epicureanum," (Chamberlin, 1925)",,
66081696,Brachypelma epicureanum,"Eurypelma epicureana Chamberlin, 1925",Eurypelma,epicureana,"Chamberlin, 1925",,
66081722,Brachypelma fossorium,"Brachypelma   fossoria Valerio, 1980",Brachypelma  ,fossoria,"Valerio, 1980",,
66081722,Brachypelma fossorium,"Euathlus   fossorius (Valerio, 1980)",Euathlus  ,fossorius,"(Valerio, 1980)",,
66081934,Brachypelma klaasi,"Brachypelmides  klaasi  Schmidt & Krause, 1994",Brachypelmides ,klaasi ,"Schmidt & Krause, 1994",,
66082155,Brachypelma sabulosum,"Delopelma  sabulosum  (F. O. Pickard-Cambridge, 1897)",Delopelma ,sabulosum ,"(F. O. Pickard-Cambridge, 1897)",,
66082155,Brachypelma sabulosum,"Rhechostica  sabulosa  (F. O. Pickard-Cambridge, 1897)",Rhechostica ,sabulosa ,"(F. O. Pickard-Cambridge, 1897)",,
66082155,Brachypelma sabulosum,"Avicularia  sabulosa  (F. O. Pickard-Cambridge, 1897)",Avicularia ,sabulosa ,"(F. O. Pickard-Cambridge, 1897)",,
66082155,Brachypelma sabulosum,"Eurypelma sabulosum Pichard-Cambridge, 1897",Eurypelma,sabulosum,"Pichard-Cambridge, 1897",,
8152,Brachypelma smithi,"Euathlus smithi Pickard-Cambridge, 1897",Euathlus,smithi,"Pickard-Cambridge, 1897",,
8152,Brachypelma smithi,"Euathlus   smithi (F. O. Pickard-Cambridge, 1897)",Euathlus , smithi,"(F. O. Pickard-Cambridge, 1897)",,
8152,Brachypelma smithi,"Avicularia  smithi  (F. O. Pickard-Cambridge, 1897)",Avicularia ,smithi ,"(F. O. Pickard-Cambridge, 1897)",,
8152,Brachypelma smithi,"Brachypelma  annitha  Tesmoingt, Cleton & Verdez, 1997",Brachypelma ,annitha ,"Tesmoingt, Cleton & Verdez, 1997",,
66081257,Sericopelma angustum,"Brachypelma angustum Valerio, 1980",Brachypelma,angustum,"Valerio, 1980",,
66081257,Sericopelma angustum,"Euathlus angustus (Valerio, 1980)",Euathlus,angustus,"(Valerio, 1980)",,
66081257,Sericopelma angustum,"Brachypelma angusta Valerio, 1980",Brachypelma,angusta,"Valerio, 1980",,
66081568,Sericopelma embrithes,"Brachypelma embrithes (Chamberlin &amp; Ivie, 1936)",Brachypelma,embrithes,"(Chamberlin &amp; Ivie, 1936)",,
66081568,Sericopelma embrithes," Avicularia embrithes  (Chamberlin & Ivie, 1936)", Avicularia,embrithes," (Chamberlin & Ivie, 1936)",,
66081568,Sericopelma embrithes,"Aphonopelma  embrithes  (Chamberlin & Ivie, 1936)",Aphonopelma ,embrithes ,"(Chamberlin & Ivie, 1936)",,
66081568,Sericopelma embrithes,"Eurypelma embrithes Chamberlin & Ivie, 1936",Eurypelma,embrithes,"Chamberlin & Ivie, 1936",,
66082199,Brachypelma vagans,"Eurypelma  dupontii  Becker, 1879",Eurypelma ,dupontii ,"Becker, 1879",,
66082199,Brachypelma vagans,"Euathlus  vagans  (Ausserer, 1875)",Euathlus ,vagans ,"(Ausserer, 1875)",,
66082199,Brachypelma vagans,"Avicularia  vagans  (Ausserer, 1875)",Avicularia ,vagans ,"(Ausserer, 1875)",,
66082199,Brachypelma vagans,"Eurypelma vagans Ausserer, 1875",Eurypelma,vagans,"Ausserer, 1875",,
148872355,Ameles andreae,"Pseudoyersinia andreae Galvagni, 1976",Pseudoyersinia,andreae,"Galvagni, 1976",,
148943547,Helenoscoparia helenensis,"Scoparia helenensis Wollaston, 1879",Scoparia,helenensis,"Wollaston, 1879",,
148943827,Helenoscoparia scintillulalis,"Scoparia scintillulalis Wollaston, 1879",Scoparia,scintillulalis,"Wollaston, 1879",,
148943867,Helenoscoparia transversalis,"Scoparia transversalis Wollaston, 1879",Scoparia,transversalis,"Wollaston, 1879",,
149115173,Merodon abruzzensis,"Lampetia abruzzensis van der Goot, 1969",Lampetia,abruzzensis,"van der Goot, 1969",,
149163215,Merodon aureus,"Merodon aeneus Megerle in Meigen, 1822",Merodon,aeneus,"Megerle in Meigen, 1822",,
149163337,Eumerus alpinus,"Eumerus olivaceus Loew, 1848",Eumerus,olivaceus,"Loew, 1848",,
149163359,Pipiza noctiluca,"Musca noctiluca Linnaeus, 1758",Musca,noctiluca,"Linnaeus, 1758",,
149163359,Pipiza noctiluca,"Pipiza albitarsis Meigen, 1830",Pipiza,"albitarsis Meigen, 1830",,,
149163359,Pipiza noctiluca,"Pipiza calceata Meigen, 1822",Pipiza,"calceata Meigen, 1822",,,
149163359,Pipiza noctiluca,"Pipiza fenestrata Meigen, 1822",Pipiza,"fenestrata Meigen, 1822",,,
149163359,Pipiza noctiluca,"Pipiza guttata Meigen, 1822",Pipiza,"guttata Meigen, 1822",,,
149163359,Pipiza noctiluca,"Pipiza rufithorax Meigen, 1830",Pipiza,"rufithorax Meigen, 1830",,,
149163359,Pipiza noctiluca,"Pipiza obsoleta Zetterstedt, 1838",Pipiza,"obsoleta Zetterstedt, 1838",,,
149163359,Pipiza noctiluca,"Pipiza vana Zetterstedt, 1843",Pipiza,"vana Zetterstedt, 1843",,,
149163390,Pipiza lugubris,"Pipiza funebris Meigen, 1822",Pipiza,"funebris Meigen, 1822",,,
149163390,Pipiza lugubris,"Pipiza geniculata Meigen, 1822",Pipiza,"geniculata Meigen, 1822",,,
149163390,Pipiza lugubris,"Pipiza signata Meigen, 1822",Pipiza,"signata Meigen, 1822",,,
