assessmentId,scientificName,internalTaxonId,doi
523026,Onthophagus muticus,137309,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T137309A523026.en
523096,Parascatonomus diversiformis,137314,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T137314A523096.en
523110,Onthophagus eschscholtzi,137315,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T137315A523110.en
523144,Gymnopleurus andreaei,137318,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137318A523144.en
523186,Pachysoma aesculapius,137321,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137321A523186.en
523200,Onthophagus granulatus,137322,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T137322A523200.en
523214,Copris amabilis,137323,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137323A523214.en
523228,Allogymnopleurus chloris,137324,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137324A523228.en
523283,Canthidium atomarium,137326,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137326A523283.en
523297,Pedaria morettoi,137327,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137327A523297.en
523339,Onthophagus kavirondus,137330,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137330A523339.en
523381,Canthidium latum,137333,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137333A523381.en
523423,Dichotomius crinicollis,137336,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137336A523423.en
523492,Uroxys variabilis,137339,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T137339A523492.en
523506,Oxysternon macleayi,137340,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T137340A523506.en
523626,Gymnopleurus thelwalli,137343,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137343A523626.en
523648,Onthophagus gulmarri,137345,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T137345A523648.en
523662,Cryptocanthon brevisetosus,137346,https://dx.doi.org/10.2305/IUCN.UK.2017-1.RLTS.T137346A523662.en
523732,Bdelyrus metaensis,137351,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137351A523732.en
523746,Canthidium flabellatum,137352,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137352A523746.en
523760,Gymnopleurus aeruginosus,137353,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137353A523760.en
523774,Onthophagus mundill,137354,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T137354A523774.en
523894,Dichotomius planicollis,137363,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137363A523894.en
523970,Oniticellus pseudoplanatus,137365,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137365A523970.en
523998,Scybalocanthon trimaculatus,137367,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T137367A523998.en
524012,Anomiopus nigrocoeruleus,137368,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137368A524012.en
524040,Copris maesi,137370,https://dx.doi.org/10.2305/IUCN.UK.2017-1.RLTS.T137370A524040.en
524054,Pedaria spinithorax,137371,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137371A524054.en
524110,Coptodactyla nitida,137375,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T137375A524110.en
524237,Canthidium subdopuncticolle,137380,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137380A524237.en
524251,Lepanus pisoniae,137381,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T137381A524251.en
524295,Coptodactyla storeyi,137385,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T137385A524295.en
524365,Pedaria biseria,137390,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137390A524365.en
524520,Catharsius pandion,137398,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137398A524520.en
524692,Canthon lituratus,137406,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137406A524692.en
524728,Demarziella imitatrix,137409,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T137409A524728.en
524756,Onitis mendax,137411,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137411A524756.en
524882,Onthophagus giraffa,137420,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137420A524882.en
524910,Pachysoma endroedyi,137422,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137422A524910.en
524924,Canthon plagiatus,137423,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137423A524924.en
524938,Onthophagus humpatensis,137424,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137424A524938.en
524980,Coprophanaeus gamezi,137427,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137427A524980.en
524994,Onthophagus australis,137428,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T137428A524994.en
525008,Onthophagus victoriensis,137429,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T137429A525008.en
525022,Gymnopleurus reichei,137430,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137430A525022.en
525036,Ontherus dentatus,137431,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137431A525036.en
525064,Temnoplectron finnigani,137433,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T137433A525064.en
525128,Pachysoma hippocrates,137438,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137438A525128.en
525164,Onthophagus semimetallicus,137441,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T137441A525164.en
525178,Phanaeus tridens,137442,https://dx.doi.org/10.2305/IUCN.UK.2017-1.RLTS.T137442A525178.en
525295,Copris morphaeus,137449,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137449A525295.en
525323,Cryptocanthon andersoni,137451,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137451A525323.en
525429,Onitis nemoralis,137459,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137459A525429.en
525457,Onthophagus tamworthi,137461,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T137461A525457.en
525471,Pedaria tibialis,137462,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137462A525471.en
525485,Hamonthophagus depressus,137463,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137463A525485.en
525513,Canthon quinquemaculatus,137465,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137465A525513.en
525541,Uroxys pygmaeus,137468,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137468A525541.en
525555,Onthophagus sikkimensis,137469,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T137469A525555.en
525583,Ateuchus guatemalensis,137471,https://dx.doi.org/10.2305/IUCN.UK.2017-1.RLTS.T137471A525583.en
525611,Dichotomius horridus,137473,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T137473A525611.en
525653,Canthon smaragdulus,137476,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137476A525653.en
525667,Onthophagus aethiopicus,137477,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137477A525667.en
525695,Bdelyrus howdeni,137479,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137479A525695.en
525709,Sisyphus rubrus,137480,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137480A525709.en
525737,Onthophagus planifrons,137482,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T137482A525737.en
525773,Dichotomius apicalis,137485,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137485A525773.en
525907,Canthochilum anacaona,137491,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137491A525907.en
525977,Anomiopus pictus,137496,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137496A525977.en
526005,Canthidium flavipes,137498,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137498A526005.en
526019,Copris capensis,137499,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137499A526019.en
526047,Canthon edentulus,137501,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137501A526047.en
526089,Onthophagus nefarius,137504,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T137504A526089.en
526103,Coprophanaeus pertyi,137505,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137505A526103.en
526131,Ateuchus murrayi,137507,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137507A526131.en
526173,Dendropaemon tenuitarsis,137510,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T137510A526173.en
526270,Onthophagus propinquus,137515,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T137515A526270.en
526395,Platyonitis bicuariensis,137519,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137519A526395.en
526409,Dichotomius maya,137520,https://dx.doi.org/10.2305/IUCN.UK.2017-1.RLTS.T137520A526409.en
526573,Aulacopris matthewsi,137526,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137526A526573.en
526623,Onthophagus caesariatus,137530,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T137530A526623.en
526651,Canthon laminatus,137532,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137532A526651.en
526665,Pedaria durandi,137533,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137533A526665.en
526821,Scarabaeus costatus,137540,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137540A526821.en
