assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
135845658,97217920,Cixius azopicavus,ANIMALIA,ARTHROPODA,HEMIPTERA,INSECTA,CIXIIDAE,Cixius,azopicavus,,,,"Hoch, 1991",Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
135846022,97218194,Cixius azoricus,ANIMALIA,ARTHROPODA,HEMIPTERA,INSECTA,CIXIIDAE,Cixius,azoricus,,,,"Lindberg, 1954",Near Threatened,B2ab(iii),3.1,Stable,Global
135846353,97218887,Cixius azoterceirae,ANIMALIA,ARTHROPODA,HEMIPTERA,INSECTA,CIXIIDAE,Cixius,azoterceirae,,,,"Remane &amp; Asche, 1979",Vulnerable,"B1ab(iii,iv)+2ab(iii,iv)",3.1,Stable,Global
135846668,97218908,Cixius cavazoricus,ANIMALIA,ARTHROPODA,HEMIPTERA,INSECTA,CIXIIDAE,Cixius,cavazoricus,,,,"Hoch, 1991",Critically Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
135847032,97219031,Cixius insularis,ANIMALIA,ARTHROPODA,HEMIPTERA,INSECTA,CIXIIDAE,Cixius,insularis,,,,"Lindberg, 1954",Near Threatened,B2ab(iii),3.1,Stable,Global
135847335,97219655,Javesella azorica,ANIMALIA,ARTHROPODA,HEMIPTERA,INSECTA,DELPHACIDAE,Javesella,azorica,,,,"Remane, 1975 ",Near Threatened,B2ab(iii),3.1,Stable,Global
135847635,97223894,Pinalitus oromii,ANIMALIA,ARTHROPODA,HEMIPTERA,INSECTA,MIRIDAE,Pinalitus,oromii,,,,J. Ribes 1992,Least Concern,,3.1,Decreasing,Global
135847932,97224034,Strophingia harteni,ANIMALIA,ARTHROPODA,HEMIPTERA,INSECTA,PSYLLIDAE,Strophingia,harteni,,,,"Hodkinson, 1981",Least Concern,,3.1,Stable,Global
135848235,97224278,Eudonia interlinealis,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,CRAMBIDAE,Eudonia,interlinealis,,,,"(Warren, 1905)",Least Concern,,3.1,Stable,Global
135848514,97224807,Eudonia luteusalis,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,CRAMBIDAE,Eudonia,luteusalis,,,,"(Hampson, 1907)",Least Concern,,3.1,Stable,Global
135848797,97225092,Eudonia melanographa,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,CRAMBIDAE,Eudonia,melanographa,,,,"(Hampson, 1907)",Vulnerable,"B2ab(iii,iv)",3.1,Stable,Global
135849142,97225371,Scoparia aequipennalis,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,CRAMBIDAE,Scoparia,aequipennalis,,,,"Warren, 1905",Least Concern,,3.1,Stable,Global
135849438,97226172,Scoparia carvalhoi,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,CRAMBIDAE,Scoparia,carvalhoi,,,,"Nuss, Karsholt &amp; Meyer, 1997",Vulnerable,"B1ab(iii,iv)+2ab(iii,iv)",3.1,Stable,Global
