internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
137118,Canthon gemellatus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Canthon,gemellatus,,,,,"Erichson, 1847","<p><em>Canthon</em> is a diverse and heterogeneous genus of dung beetles. Currently, the genus is composed of nine subgenera: <em>Boreocanthon</em>, <em>Canthon</em> <em>s.str</em>., <em>Francmonrosia</em>, <em>Glaphyrocanthon</em>, <em>Goniocanthon</em>, <em>Nesocanthon</em>, <em>Peltecanthon</em>, <em>Pseudepilissus</em>, <em>Trichocanthon</em>. Of these, only <em>Boreocanthon</em> and <em>Nesocanthon</em> do not occur in South America. The genus is taxonomically well known.</p>"
137119,Onthophagus lamgalio,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Onthophagus,lamgalio,,,,,"Matthews, 1972","The cosmopolitan genus <em>Onthophagus </em>Latreille, 1802 is the largest of the Australian dung beetle fauna and comprises 193 described and 41 undescribed species (Matthews 1972, Storey 1977, Storey and Weir 1990, T. Weir pers. comm. and G.B. Monteith pers. comm. 2012)."
137121,Scatonomus xanthopygus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Scatonomus,xanthopygus,,,,,"Pereira, 1954","<em>Scatonomus</em> is a small genus, containing only eight described species, of which little taxonomic and biological information is available. The genus is known from </span>Brazil, Argentina, Uruguay and Paraguay, and its species are distributed </span>throughout “Cerrado”, “Pampa” and Atlantic forest.</span>"
137122,Epirinus gratus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Epirinus,gratus,,,,,"Péringuey, 1901",The genus<strong>&#160;</strong><em>Epirinus</em>&#160;currently comprises 29 species with a combined distribution restricted primarily to the coolest climates of South Africa (ScarabNet 2009).
137123,Sisyphus macrorubrus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Sisyphus,macrorubrus,,,,,"Paschalidis, 1974","The genus&#160;<em>Neosisyphus</em>&#160;Müller 1942 shows a widespread distribution in the Oriental and Afrotropical regions and is currently represented by 22 species in the Afrotropical region (ScarabNet 2009). It is in urgent need of revision. This species has frequently been cited as&#160;<em>N. macroruber</em>&#160;for reasons of gender in&#160;Latin&#160;usage, although no formal abridgement of the name has been published. It is a close relative of&#160;<em>N. rubrus</em>&#160;Paschalidis 1974, which has also been assessed for the IUCN Red List."
137131,Canthon corpulentus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Canthon,corpulentus,,,,,"Harold, 1868","<p>A review of <em>Canthon lamproderes</em>&#160;by Fernando Vaz-de-Mello will soon be published which places some specimens previously identified as <em>Canthon lamproderes </em>within <em>Canthon corpulentus</em>&#160;- this has been taken into account in this assessment.</p><p><br/></p><p><em>Canthon </em>is a diverse and heterogeneous genus of dung beetles. Currently, the genus is composed of nine subgenera: <em>Boreocanthon</em>,<em> Canthon </em>s.str., <em>Francmonrosia</em>,<em> Glaphyrocanthon</em>,<em> Goniocanthon</em>,<em> Nesocanthon</em>, <em>Peltecanthon</em>,<em> Pseudepilissus</em>, and&#160;<em>Trichocanthon</em>. Of these, only <em>Boreocanthon </em>and <em>Nesocanthon </em>do not occur in South America.&#160;The genus is taxonomically relatively well known.</p><p><br/></p><p><br/></p>"
137136,Onthophagus rufosignatus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Onthophagus,rufosignatus,,,,,"Macleay, 1864","<p><span lang=""EN-GB"">The cosmopolitan genus <em>Onthophagus </em>Latreille, 1802 is the largest of the Australian dung beetle fauna and comprises 193 described and 41 undescribed species (Matthews 1972, Storey 1977, Storey and Weir 1990, T. Weir pers. comm. and G.B. Monteith pers. comm. 2012).</p>"
137137,Thyregis relictus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Thyregis,relictus,,,,,"Matthews, 1976","The endemic Australian genus <em>Thyregis </em>Blackburn, 1904 comprises four described and one undescribed species (Matthews 1976, T. Weir pers. comm. and G.B. Monteith pers. comm. 2012). Matthews (1976) considers <em>Thyregis </em>to be a relict genus and <em>Thyregis relictus</em> or a similar species to be ancestral to <em>Coptodactyla.&#160;</em>"
137139,Dicranocara deschodti,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Dicranocara,deschodti,,,,,"Frolov &amp; Scholtz, 2003",The genus <em>Dicranocara</em> was discovered in the late 1990s and described only in 2003. It now comprises three species (ScarabNet 2009) recorded from arid climate both on the South African and Namibian sides of the Lower Orange River.
137149,Sulcophanaeus actaeon,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Sulcophanaeus,actaeon,,,,,"(Erichson, 1847)","This genus was recently revised by Edmonds (2000). According to the author, <em>Sulcophanaeus</em> is a Neotropical genus comprising five species groups (<em>faunus</em>, <em>carnifex</em>, <em>auricollis</em>, <em>imperator</em> and <em>menelas</em>). <span class=""hps"">Currently, <span class=""hps"">the genus <span class=""hps"">presents 15 <span class=""hps"">valid species <span class=""hps"">and some <span class=""hps"">infraspecific taxa.</span></span></span>"
