internalTaxonId,scientificName,name,language,main
153695,Cambarus robustus,Big Water Crayfish,English,false
153701,Pacifastacus connectens,Snake River Pilose Crayfish,English,false
153706,Euastacus rieki,Alpine Crayfish,English,true
153710,Engaewa pseudoreducta,Margaret River Burrowing Crayfish,English,true
153716,Ombrastacoides denisoni,Denison Rain Crayfish,English,true
153727,Euastacus suttoni,New England Crayfish,English,false
153728,Procambarus achilli,Achil,Spanish; Castilian,false
153728,Procambarus achilli,Achiles,Spanish; Castilian,false
153730,Cambarus monongalensis,Blue Crayfish,English,false
153730,Cambarus monongalensis,Monongahela Crayfish,English,false
153731,Cherax quinquecarinatus,Gilgies,English,false
153734,Cambarus dubius,Upland Burrowing Crayfish,English,false
153735,Pacifastacus gambelii,Pilose Crayfish,English,false
153742,Gramastacus insolitus,Western Swamp Crayfish,English,false
153743,Euastacus mirangudjin,Ochre-Bellied Crayfish,English,true
153747,Fallicambarus fodiens,Digger Crayfish,English,true
153748,Cambarus bartonii,Appalachian Brook Crayfish,English,false
153748,Cambarus bartonii,Common Crayfish,English,false
153751,Cambaroides japonicus,Nippon Zarigani,Japanese,true
153754,Cambarus brachydactylus,Shortfinger Crayfish,English,false
153764,Orconectes limosus,Spinycheek Crayfish,English,false
153766,Procambarus hirsutus,Shaggy Crayfish,English,false
153768,Fallicambarus devastator,Texas Prairie Crayfish,English,true
153769,Procambarus pubischelae,Brushpalm Crayfish,English,false
153769,Procambarus pubischelae,Hookless Crayfish,English,true
153770,Cambarus ortmanni,Ortmann's Mudbug,English,false
153771,Fallicambarus oryktes,Flatwoods Digger,English,false
153772,Orconectes williamsi,Williams Crayfish,English,false
153773,Troglocambarus maclanei,Spider Cave Crayfish,English,true
153774,Orconectes burri,Blood River Crayfish,English,true
153775,Procambarus tulanei,Giant Bearded Crayfish,English,true
153776,Cambarus cumberlandensis,Cumberland Crayfish,English,false
153778,Cambarus sphenoides,Triangleclaw Crayfish,English,false
153779,Distocambarus hunteri,Saluda Burrowing Crayfish,English,false
153780,Procambarus blandingii,Santee Crayfish,English,true
153781,Orconectes obscurus,Allegheny Crayfish,English,false
153782,Procambarus chacei,Cedar Creek Crayfish,English,false
153783,Cambarus acuminatus,Acuminate Crayfish,English,false
153784,Orconectes validus,Powerful Crayfish,English,false
153785,Procambarus hinei,Marsh Crayfish,English,false
153786,Procambarus verrucosus,Grainy Crayfish,English,false
153789,Procambarus litosternum,Blackwater Crayfish,English,false
153791,Cambarus angularis,Angled Crayfish,English,false
153794,Cambarus coosae,Coosa Crayfish,English,false
153796,Procambarus bivittatus,Ribbon Crayfish,English,false
153797,Procambarus mancus,Lame Crayfish,English,false
153798,Fallicambarus caesius,Timberlands Burrowing Crayfish,English,true
153800,Cambarus causeyi,Boston Mountains Crayfish,English,false
153803,Cambarus gentryi,Linear Cobalt Crayfish,English,false
153805,Cambarus conasaugaensis,Mountain Crayfish,English,false
153806,Cambarus eeseeohensis,Grandfather Mountain Crayfish,English,false
153807,Orconectes neglectus,Gapped Ringed Crayfish,English,false
153807,Orconectes neglectus,Ringed Crayfish,English,false
153808,Fallicambarus dissitus,Pine Hills Digger,English,true
153809,Distocambarus crockeri,Piedmont Prairie Burrowing Crayfish,English,false
153811,Cambarus hystricosus,Sandhills Spiny Crayfish,English,true
153812,Cambarus veitchorum,White Spring Cave Crayfish,English,true
153813,Procambarus curdi,Red River Burrowing Crayfish,English,true
153814,Cambarus diogenes,Devil Crawfish,English,true
153817,Procambarus caritus,Poor Crayfish,English,false
153818,Cambarus acanthura,Thornytail Crayfish,English,false
153820,Cambarus sciotensis,Teays River Crayfish,English,false
153821,Procambarus viaeviridis,Vernal Crayfish,English,false
153824,Procambarus raneyi,Disjunct Crayfish,English,false
153826,Orconectes difficilis,Painted Crayfish,English,true
153828,Procambarus alleni,Florida Crayfish,English,true
153829,Orconectes theaphionensis,Sinkhole Crayfish,English,false
153830,Cambarus manningi,Greensaddle Crayfish,English,false
153831,Orconectes virilis,Virile Crayfish,English,false
153832,Procambarus medialis,Pamlico Crayfish,English,true
153833,Procambarus lunzi,Hummock Crayfish,English,false
153834,Orconectes placidus,Bigclaw Crayfish,English,false
153835,Orconectes rusticus,Rusty Crayfish,English,false
153836,Cambarellus schmitti,Fontal Dwarf Crayfish,English,false
153838,Fallicambarus byersi,Lavender Burrowing Crayfish,English,true
