latD	logD	source
35.300288	23.613535	Bibliography
35.3895	24.0722	NHMC
35.2993	24.16	NHMC
35.377	24.0797	NHMC
35.3074	23.9265	NHMC
35.5600158070001	24.1346152620001	Bibliography
35.229787	24.6667939	Bibliography
35.29192	24.17736	Bibliography
35.2637490810001	25.714057655	Bibliography
35.01554	25.74298	Bibliography
35.30960356	24.6289212780001	Bibliography
35.004688	25.584441	Bibliography
35.2476350320001	24.5713986320001	Bibliography
35.36464	25.02113	Bibliography
35.2911317520001	23.959246642	Bibliography
35.2508080270001	23.81266071	Bibliography
35.28955	25.43424	Bibliography
35.238209	24.164515	Bibliography
35.119585	24.811403	Bibliography
35.09259	25.54587	Bibliography
35.34622	24.20992	Bibliography
35.314844	24.296372	Bibliography
35.416178	23.757058	Bibliography
35.32749	23.74286	Bibliography
35.201769	24.136289	Bibliography
35.174912	24.416201	Bibliography
35.2166666666667	24.1666666666667	Bibliography
35.393755	24.886571	Bibliography
35.357283565	24.5004867660001	Bibliography
35.09916	24.69114	Bibliography
35.18854	24.73882	Bibliography
35.3039976860001	24.033403525	Bibliography
35.15565	24.78378	Bibliography
35.150194657	24.4662429640001	Bibliography
35.195026581	26.2755913120001	Bibliography
35.28197	25.18476	Bibliography
35.3076634810001	23.918715005	Bibliography
35.5738001870001	23.767605535	Bibliography
35.5199	23.9298	Bibliography
34.9663612430001	25.0837239470001	Bibliography
35.416348181	24.689265784	Bibliography
34.9284462850001	24.0035407820001	Bibliography
34.83582	24.08608	Bibliography
34.8303039690001	24.1111387180001	Bibliography
35.24943999	25.149508633	Bibliography
35.15777	25.46546	Bibliography
34.868590823	24.071540881	Bibliography
35.3186111111111	23.9127777777778	Bibliography
35.3219444444444	23.9294444444444	Bibliography
35.137778	25.481111	Bibliography
35.0877777777778	25.8827777777778	Bibliography
35.2884395720001	24.884103199	Bibliography
35.07681	25.65875	Bibliography
35.1829	25.4623	Bibliography
35.2359	25.149	NHMC
35.0452167	25.6438442999999	Bibliography
35.31073	24.84391	Bibliography
35.2298123	25.4425512	Bibliography
35.0595	24.95819	Bibliography
35.1533421720001	24.6323954760001	Bibliography
35.0804049	25.584941	Bibliography
35.089622137	25.700932537	Bibliography
35.368656	23.669718	Bibliography
35.4036793440001	23.98545848	Bibliography
35.2919077240001	23.645027611	Bibliography
35.205205758	25.6999740000001	Bibliography
35.1325639660001	24.9016842090001	Bibliography
35.1207	25.0199	NHMC
35.0833333333333	25.8666666666667	Bibliography
35.3558333333333	23.6391666666667	Bibliography
35.3711111111111	23.6319444444444	Bibliography
35.3213888888889	23.7591666666667	Bibliography
35.1169444444444	25.6319444444444	Bibliography
35.1833333333333	25.5166666666667	Bibliography
35.3227777777778	23.8925	Bibliography
35.2880555555556	24.7975	Bibliography
35.3011111111111	24.9130555555556	Bibliography
35.1455555555556	25.6413888888889	Bibliography
35.0927777777778	25.8780555555556	Bibliography
35.3983333333333	24.196111	Bibliography
