internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
135117,Potamon potamios,"Potamon potamios Pretzmann, 1962 ssp. cyprion",Potamon,potamios,"Pretzmann, 1962",subspecies,
135117,Potamon potamios,"Potamon potamios Ghiavarini, 1934 ssp. karpathos",Potamon,potamios,"Ghiavarini, 1934",subspecies,
135117,Potamon potamios,"Potamon fluviatile Savigny, 1816",Potamon,fluviatile,"Savigny, 1816",,
135117,Potamon potamios,"Potamon potamios (Olivier, 1804) ssp. potamios",Potamon,potamios,"(Olivier, 1804)",subspecies,
135117,Potamon potamios,"Potamon potamios Bott, 1967 ssp. palaestinense",Potamon,potamios,"Bott, 1967",subspecies,
157573,Chlorophorus glabromaculatus,"Leptura glabro-maculata Goeze, 1777 [orth. var.]",Leptura,glabro-maculata,"Goeze, 1777 [orth. var.]",,
157573,Chlorophorus glabromaculatus,"Leptura glabromaculata Goeze, 1777",Leptura,glabromaculata,"Goeze, 1777",,
157591,Brachygonus meraculus,"Ampedus meraculus (Reitter, 1889)",Ampedus,meraculus,"(Reitter, 1889)",,
157631,Ropalopus insubricus,"Callidium insubricum Germar, 1824",Callidium,insubricum,"Germar, 1824",,
157647,Dolocerus reichii,"Brachypteroma ottomanum Heyden, 1863",Brachypteroma,ottomanum,"Heyden, 1863",,
157647,Dolocerus reichii,"Molorchus mulsanti Stierlin, 1866",Molorchus,mulsanti,"Stierlin, 1866",,
157695,Lioderina linearis,"Callidium lineare Hampe, 1871",Callidium,lineare,"Hampe, 1871",,
157800,Ampedus cardinalis,Ampedus coccinatus  Rye 1867,Ampedus,coccinatus ,Rye 1867,,
157800,Ampedus cardinalis,Ampedus titanus Reitter 1918,Ampedus,titanus,Reitter 1918,,
157886,Chlorophorus aegyptiacus,"Callidium aegyptiacum Fabricius, 1775",Callidium,aegyptiacum,"Fabricius, 1775",,
157886,Chlorophorus aegyptiacus,"Clytus nigripes Brullé, 1832",Clytus,nigripes,"Brullé, 1832",,
157901,Osmoderma barnabita,Osmoderma barnabita,Osmoderma,barnabita,,,
157928,Callimus abdominalis,"Callidium abdominale Olivier, 1795",Callidium,abdominale,"Olivier, 1795",,
160251,Pontia daplidice,"Papilio daplidice Linnaeus, 1758",Papilio,daplidice,"Linnaeus, 1758",,
160590,Erebia cassioides,"Papilio cassioides Reiner &amp; Hochenwarth, 1792",Papilio,cassioides,"Reiner &amp; Hochenwarth, 1792",,
169949,Scyllarus arctus,"Cancer arctus Linnaeus, 1758",Cancer,arctus,"Linnaeus, 1758",,
169983,Scyllarides latus,"Pseudibacus veranyi Guérin Méneville, 1855",Pseudibacus,veranyi,"Guérin Méneville, 1855",,
169983,Scyllarides latus,"Scyllarus latus Latreille, 1802",Scyllarus,latus,"Latreille, 1802",,
170056,Scyllarus pygmaeus,"Arctus immaturus Bate, 1888",Arctus,immaturus,"Bate, 1888",,
170056,Scyllarus pygmaeus,"Scyllarus immaturus Bouvier, 1912",Scyllarus,immaturus,"Bouvier, 1912",,
170056,Scyllarus pygmaeus,"Arctus pygmaeus Bate, 1888",Arctus,pygmaeus,"Bate, 1888",,
171925,Archon apollinus,"Papilio apollinus Herbst, 1798",Papilio,apollinus,"Herbst, 1798",,
173209,Hipparchia fagi,"Papilio fagi Scopoli, 1763",Papilio,fagi,"Scopoli, 1763",,
173211,Lysandra coridon,"Papilio coridon Poda, 1761",Papilio,coridon,"Poda, 1761",,
173211,Lysandra coridon,"Polyommatus coridon (Poda, 1761)",Polyommatus,coridon,"(Poda, 1761)",,
173233,Hipparchia volgensis,"Satyrus volgensis Mazochin-Porshnjakov, 1952",Satyrus,volgensis,"Mazochin-Porshnjakov, 1952",,
173246,Erebia oeme,"Papilio oeme Hübner, 1804",Papilio,oeme,"Hübner, 1804",,
173284,Erebia epiphron,"Papilio epiphron Knoch, 1783",Papilio,epiphron,"Knoch, 1783",,
173311,Polyommatus aroaniensis,"Agrodiaetus aroaniensis Brown, 1976",Agrodiaetus,aroaniensis,"Brown, 1976",,
173314,Erebia melas,"Papilio melas Herbst, 1796",Papilio,melas,"Herbst, 1796",,
185026,Polycheles typhlops,"Polycheles hextii Bouvier, 1905",Polycheles,hextii,"Bouvier, 1905",,
185026,Polycheles typhlops,"Pentacheles hextii Alcock, 1894",Pentacheles,hextii,"Alcock, 1894",,
19743,Rosalia alpina,"Cerambyx alpinus Linnaeus, 1758",Cerambyx,alpinus,"Linnaeus, 1758",,
2191,Astacus astacus,"Potamobius fluviatilis ssp. balcanicus S. Karaman, 1929",Potamobius,fluviatilis,,subspecies,"S. Karaman, 1929"
2191,Astacus astacus,"Astacus astacus ssp. colchicus Kessler, 1876",Astacus,astacus,,subspecies,"Kessler, 1876"
2191,Astacus astacus,"Cancer astacus Linnaeus, 1758",Cancer,astacus,"Linnaeus, 1758",,
2191,Astacus astacus,"Astacus fluviatilis Fabricius, 1775",Astacus,fluviatilis,"Fabricius, 1775",,
39486,Lycaena ottomana,"Lycaena ottomanus (Lefèbvre, 1830) [orth. error]",Lycaena,ottomanus,"(Lefèbvre, 1830) [orth. error]",,
39486,Lycaena ottomana,"Polyommatus ottomanus Lefèbvre, 1830",Polyommatus,ottomanus,"Lefèbvre, 1830",,
40730,Epimyrma adlerzi,"Epimymra adlerzi Douwes, Jessen & Buschinger, 1988 [orth. error]",Epimymra,adlerzi,"Douwes, Jessen & Buschinger, 1988 [orth. error]",,
13320156,Ceratina gravidula,"Ceratina nigroaenea Gerstäcker, 1869",Ceratina,nigroaenea,"Gerstäcker, 1869",,
13322514,Dasypoda pyriformis,"Dasypoda schlettereri Friese, 1900",Dasypoda,schlettereri,"Friese, 1900",,
13338042,Seladonia inpilosa,"Halictus inpilosus Ebmer, 1975",Halictus,inpilosus,"Ebmer, 1975",,
165460,Lindenia tetraphylla,"Lindenia inkiti Bartenef, 1929",Lindenia,inkiti,"Bartenef, 1929",,
165506,Orthetrum taeniolatum,"Orthetrum hyalianum Kirby, 1886",Orthetrum,hyalianum,"Kirby, 1886",,
165506,Orthetrum taeniolatum,"Orthetrum brevistylum Kirby, 1896",Orthetrum,brevistylum,"Kirby, 1896",,
165506,Orthetrum taeniolatum,"Libellula taeniolata Schneider, 1845",Libellula,taeniolata,"Schneider, 1845",,
165506,Orthetrum taeniolatum,"Orthetrum garhwalicum Singh & Baijal, 1954",Orthetrum,garhwalicum,"Singh & Baijal, 1954",,
165471,Selysiothemis nigra,"Libellula nigra Vander Linden, 1825",Libellula,nigra,"Vander Linden, 1825",,
60038,Sympetrum fonscolombii,"Sympetrum fonscolombei Selys, 1840",Sympetrum,fonscolombei,"Selys, 1840",,
165489,Onychogomphus forcipatus,"Aeshna hamata Charpentier, 1825",Aeshna,hamata,"Charpentier, 1825",,
165489,Onychogomphus forcipatus,"Libellula viridicincta Retzius, 1783",Libellula,viridicincta,"Retzius, 1783",,
165489,Onychogomphus forcipatus,"Libellula forcipata Linnaeus, 1758",Libellula,forcipata,"Linnaeus, 1758",,
165514,Brachytron pratense,"Brachytron hafniense (Müller, 1764)",Brachytron,hafniense,"(Müller, 1764)",,
