assessmentId,scientificName,internalTaxonId,doi
6983441,Polyommatus eleniae,173273,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T173273A6983441.en
6984697,Coenonympha orientalis,173281,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T173281A6984697.en
6985207,Erebia epiphron,173284,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T173284A6985207.en
6986657,Polyommatus nephohiptamenos,173295,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T173295A6986657.en
6986821,Coenonympha rhodopensis,173296,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T173296A6986821.en
6987579,Pseudochazara orestes,173302,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T173302A6987579.en
6988820,Polyommatus aroaniensis,173311,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T173311A6988820.en
6989024,Pieris balcana,173313,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T173313A6989024.en
6989170,Erebia melas,173314,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T173314A6989170.en
8153516,Proserpinus proserpina,18366,https://dx.doi.org/10.2305/IUCN.UK.1996.RLTS.T18366A8153516.en
8352663,Polycheles typhlops,185026,https://dx.doi.org/10.2305/IUCN.UK.2011-1.RLTS.T185026A8352663.en
8454057,Platycnemis pennipes ssp. nitidula,185659,https://dx.doi.org/10.2305/IUCN.UK.2010-3.RLTS.T185659A8454057.en
9009447,Rosalia alpina,19743,https://dx.doi.org/10.2305/IUCN.UK.1996.RLTS.T19743A9009447.en
9237349,Strongylognathus silvestrii,20938,https://dx.doi.org/10.2305/IUCN.UK.1996.RLTS.T20938A9237349.en
9338388,Astacus astacus,2191,https://dx.doi.org/10.2305/IUCN.UK.2010-3.RLTS.T2191A9338388.en
10120005,Carabus intricatus,3845,https://dx.doi.org/10.2305/IUCN.UK.1996.RLTS.T3845A10120005.en
