internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
157571,Microrhagus pyrenaeus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,EUCNEMIDAE,Microrhagus,pyrenaeus,,,,,"Bonvouloir, 1872",
157573,Chlorophorus glabromaculatus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Chlorophorus,glabromaculatus,,,,,"(Goeze, 1777)","The taxonomic status of this species appears to be unclear due to the varying opinions of different authors. In Spain, this species is currently regarded as a variety of <span style=""font-style: italic;"">C. pilosus</span> (Gonzáles Peña <span style=""font-style: italic;"">et al.</span> 2007). Sama (2000) however states this is a separate species and this is supported by Brustel <span style=""font-style: italic;"">et al. </span>(2002)."
157575,Osmoderma lassallei,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CETONIIDAE,Osmoderma,lassallei,,,,,"Baraud &amp; Tauzin, 1991","The <span style=""font-style: italic;"">Osmoderma</span> species complex is here treated as five separate
species (<span style=""font-style: italic;"">barnabita</span>, <span style=""font-style: italic;"">eremita</span>, <span style=""font-style: italic;"">cristinae</span>, <span style=""font-style: italic;"">italica</span> and <span style=""font-style: italic;"">lassallei</span>),
following Audisio<span style=""font-style: italic;""> et al.</span> (2007, 2008). Distribution limits of these
different forms remain poorly resolved, but for the purpose of these
assessments we follow the approximate distribution limits outlined in
Audisio <span style=""font-style: italic;"">et al</span>. (2007, 2008). There is ongoing debate as to whether or not
these forms constitute valid species,&#160; but for the purpose of this
assessment we are assessing each form separately. <br/><span style=""background-color: yellow;""></span>"
157591,Brachygonus meraculus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,ELATERIDAE,Brachygonus,meraculus,,,,,"(Reitter, 1889)",
157631,Ropalopus insubricus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Ropalopus,insubricus,,,,,"(Germar, 1824)","Recorded from the Atlas Mountains in northern Africa. However, these records are thought to be related to different species (<em>R. ungaricus</em>&#160;and&#160;<em>R. siculus</em>)."
157641,Ceruchus chrysomelinus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,LUCANIDAE,Ceruchus,chrysomelinus,,,,,"(Hochenwart, 1785)",
157645,Tritoma bipustulata,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,EROTYLIDAE,Tritoma,bipustulata,,,,,"Fabricius, 1775",
157647,Dolocerus reichii,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Dolocerus,reichii,,,,,"Mulsant, 1862","This species was previously placed as <em>Brachypteroma ottomanum</em> Heyden, 1863. However, it is now recognised that the former synonym, <em>Dolocerus reichii </em>Mulsant, 1862 is the pre-existing senior name."
157659,Clytus lama,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Clytus,lama,,,,,"Mulsant, 1847",
157692,Ampedus hjorti,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,ELATERIDAE,Ampedus,hjorti,,,,,"(Rye, 1905)",
157695,Lioderina linearis,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Lioderina,linearis,,,,,"(Hampe, 1870)",
157698,Ampedus coenobita,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,ELATERIDAE,Ampedus,coenobita,,,,,"(Costa, 1881)",
157714,Pseudotriphyllus suturalis,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,MYCETOPHAGIDAE,Pseudotriphyllus,suturalis,,,,,"(Fabricius, 1801)",
157730,Grynocharis oblonga,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,TROGOSITIDAE,Grynocharis,oblonga,,,,,"(Linnaeus, 1758)",
157795,Clytus tropicus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Clytus,tropicus,,,,,"(Panzer, 1795)",This species has many synonyms and a taxonomic revision is needed.
