internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
123717353,Tenuiphantes tenebricoloides,"Lepthyphantes tenebricoloides Schenkel, 1938",Lepthyphantes,tenebricoloides,"Schenkel, 1938",,
161912,Cephalanthera cucullata,Epipactis cucullata (Boiss. & Heildr. ex Rchb. fil.) Wettstein.,Epipactis,cucullata,(Boiss. & Heildr. ex Rchb. fil.) Wettstein.,,
161912,Cephalanthera cucullata,Limodorum   cucullatum (Boiss. & Heldr.),Limodorum  ,cucullatum,(Boiss. & Heldr.) ,,
161912,Cephalanthera cucullata,Serapias cucullata  (Boiss. & Heldr.),Serapias,cucullata ,(Boiss. & Heldr.),,
119449753,Walckenaeria grandis,"Savigniorrhipis grandis Wunderlich, 1992",Savigniorrhipis,grandis,"Wunderlich, 1992",,
119454484,Orthonychiurus azoricus,"Onychiurus azoricus Jacquemart, 1974",Onychiurus,azoricus,"Jacquemart, 1974",,
124913500,Culiseta atlantica,"Theobaldia atlantica Edwards, 1932",Theobaldia,atlantica,"Edwards, 1932",,
124914147,Falbouria acorensis,"Balfouria acorensis Parent, 1933",Balfouria,acorensis,"Parent, 1933",,
124914330,Scaptomyza impunctata,"Parascaptomyza impunctata Frey, 1945",Parascaptomyza,impunctata,"Frey, 1945",,
124914460,Kowarzia azorica,"Clinocera azorica Wagner & Stauder, 1991",Clinocera,azorica,"Wagner & Stauder, 1991",,
124914519,Kowarzia dahli,"Atalanta dahli Vaillant, 1964",Atalanta,dahli,"Vaillant, 1964",,
124914566,Kowarzia sexmaculata,"Clinocera sexmaculata Frey, 1945",Clinocera,sexmaculata,"Frey, 1945",,
124914582,Kowarzia storai,"Clinocera storai Frey, 1945",Clinocera,storai,"Frey, 1945",,
124914683,Hyadina agostinhoi,"Hydrina agostinhoi Frey, 1945",Hydrina,agostinhoi,"Frey, 1945",,
124915006,Dicranomyia azorica,"Limonia azorica Nielsen, 1963",Limonia,azorica,"Nielsen, 1963",,
124915040,Discobola freyana,"Limonia freyana Nielsen, 1961",Limonia,freyana,"Nielsen, 1961",,
