assessmentId,internalTaxonId,scientificName,type,text,full,value,order
70741232,68486119,Uromenus riggioi,RedListAssessors,"Buzzetti, F.M., Hochkirch, A., Massa, B., Fontana, P., Kleukers, R. & Odé, B.","Buzzetti, F.M., Hochkirch, A., Massa, B., Fontana, P., Kleukers, R. & Odé, B.","Baudewijn Odé (IUCN SSC Grasshopper Specialist Group)|Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)|Roy Kleukers (IUCN SSC Grasshopper Specialist Group)|Paolo Fontana (IUCN SSC Grasshopper Specialist Group)|Filippo Maria Buzzetti (Consultant - IUCN European Orthoptera Assessment)|Bruno Massa","69782542,13179435,86227513,44830967,13985562,13179417"
70741232,68486119,Uromenus riggioi,RedListEvaluators,"Bushell, M. & Cálix, M.","Bushell, M. & Cálix, M.","Mark Bushell (Bristol Zoo, United Kingdom)|Marta Cálix (IUCN European Red List)","42907552,84986092"
70741232,68486119,Uromenus riggioi,RedListContributors,"Kranz, M. & Weinberger, J.","Kranz, M. & Weinberger, J.","Jasmin Weinberger (IUCN SSC Grasshopper Specialist Group)|Marco Kranz (Trier University, Germany)","79849881,42650399"
70741232,68486119,Uromenus riggioi,RedListFacilitators,"","Nieto, A.",Ana Nieto (IUCN),212
70848707,70848490,Pterolepis pityusensis,RedListAssessors,"Presa, J.J., García, M., Clemente, M., Barranco Vega, P., Correas, J., Ferreira, S., Hochkirch, A., Lemos, P., Odé, B. & Prunier, F.","Presa, J.J., García, M., Clemente, M., Barranco Vega, P., Correas, J., Ferreira, S., Hochkirch, A., Lemos, P., Odé, B. & Prunier, F.","Sónia Ferreira|Baudewijn Odé (IUCN SSC Grasshopper Specialist Group)|Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)|Juan José Presa (University of Murcia / IUCN European Orthoptera Assessment)|Paulo Lemos|Pablo Barranco Vega|José Correas|María Dolores  García|María Eulalia Clemente|Florent Prunier","69782476,89764259,89764261,87901719,88357893,1882,13179435,85649445,13179417,95315050"
70848707,70848490,Pterolepis pityusensis,RedListEvaluators,"Chobanov, D.P. & Cálix, M.","Chobanov, D.P. & Cálix, M.",Dragan Chobanov (IUCN SSC Grasshopper Specialist Group)|Marta Cálix (IUCN European Red List),"15430829,84986092"
70848707,70848490,Pterolepis pityusensis,RedListContributors,"Kranz, M.","Kranz, M.","Marco Kranz (Trier University, Germany)",79849881
70848707,70848490,Pterolepis pityusensis,RedListFacilitators,"","García, M.",Mariana García (IUCN Global Species Programme),56211724
71722282,71722162,Helictochloa lusitanica,RedListAssessors,"","Romero Zarco, C.",Carlos Romero Zarco,78578619
71722282,71722162,Helictochloa lusitanica,RedListEvaluators,"","Carapeto, A., Fraga i Arquimbau, P., García Murillo, P.G., Pinto Cruz, C., Ríos Ruiz, S., Numa, C. & Allen, D.J.",David Allen (IUCN)|Pablo García Murillo (Universidad de Sevilla)|Catherine Numa (IUCN-Med)|Pere Fraga i Arquimbau (Institut Menorquí d’Estudis)|André Carapeto (Sociedade Portuguesa de Botânica)|Segundo Ríos Ruiz (University of Alicante)|Carla Pinto Cruz (Universidade de Évora),"46770856,4768,1698,87454695,70844805,3163,305"
71722282,71722162,Helictochloa lusitanica,RedListContributors,"","Carapeto, A.",André Carapeto (Sociedade Portuguesa de Botânica),46770856
71729517,170545,Cochlostoma dalmatinum,RedListAssessors,"Feher, Z.","Feher, Z.",Zoltán Fehér (Europe),367
71729517,170545,Cochlostoma dalmatinum,RedListEvaluators,"Neubert, E. & Ward, J.","Neubert, E. & Ward, J.",Eike Neubert (Naturhistorisches Museum der Burgergemeinde Bern)|Jack Ward (IUCN Molluscs volunteer),"1996,4020"
72323178,68279966,Conocephalus chavesi,RedListAssessors,"Hochkirch, A. & Borges, P.A.V.","Hochkirch, A. & Borges, P.A.V.","Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)|Paulo Borges (University of Azores, Portugal)","13179435,61657742"
72323178,68279966,Conocephalus chavesi,RedListEvaluators,"Chobanov, D.P. & Cálix, M.","Chobanov, D.P. & Cálix, M.",Dragan Chobanov (IUCN SSC Grasshopper Specialist Group)|Marta Cálix (IUCN European Red List),"15430829,84986092"
72323178,68279966,Conocephalus chavesi,RedListContributors,"Kranz, M.","Kranz, M.","Marco Kranz (Trier University, Germany)",79849881
72323178,68279966,Conocephalus chavesi,RedListFacilitators,"","García, M.",Mariana García (IUCN Global Species Programme),56211724
72594526,15038931,Arminda brunneri,RedListAssessors,"Hochkirch, A.","Hochkirch, A.","Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)",13179435
72594526,15038931,Arminda brunneri,RedListEvaluators,"Odé, B. & García, M.","Odé, B. & García, M.",Baudewijn Odé (IUCN SSC Grasshopper Specialist Group)|Mariana García (IUCN Global Species Programme),"13179417,56211724"
72594526,15038931,Arminda brunneri,RedListContributors,"Jakobs, D. & Kranz, M.","Jakobs, D. & Kranz, M.","David Jakobs (Trier University)|Marco Kranz (Trier University, Germany)","16899069,79849881"
72594726,15038941,Arminda burri,RedListAssessors,"Hochkirch, A.","Hochkirch, A.","Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)",13179435
72594726,15038941,Arminda burri,RedListEvaluators,"Odé, B. & García, M.","Odé, B. & García, M.",Baudewijn Odé (IUCN SSC Grasshopper Specialist Group)|Mariana García (IUCN Global Species Programme),"13179417,56211724"
72594726,15038941,Arminda burri,RedListContributors,"Jakobs, D. & Kranz, M.","Jakobs, D. & Kranz, M.","David Jakobs (Trier University)|Marco Kranz (Trier University, Germany)","16899069,79849881"
72594950,15039060,Arminda canariensis,RedListAssessors,"Hochkirch, A.","Hochkirch, A.","Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)",13179435
72594950,15039060,Arminda canariensis,RedListEvaluators,"Odé, B. & García, M.","Odé, B. & García, M.",Baudewijn Odé (IUCN SSC Grasshopper Specialist Group)|Mariana García (IUCN Global Species Programme),"13179417,56211724"
72594950,15039060,Arminda canariensis,RedListContributors,"Jakobs, D. & Kranz, M.","Jakobs, D. & Kranz, M.","David Jakobs (Trier University)|Marco Kranz (Trier University, Germany)","16899069,79849881"
72595213,15039063,Arminda fuerteventurae,RedListAssessors,"Hochkirch, A.","Hochkirch, A.","Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)",13179435
72595213,15039063,Arminda fuerteventurae,RedListEvaluators,"Odé, B. & García, M.","Odé, B. & García, M.",Baudewijn Odé (IUCN SSC Grasshopper Specialist Group)|Mariana García (IUCN Global Species Programme),"13179417,56211724"
72595213,15039063,Arminda fuerteventurae,RedListContributors,"Jakobs, D. & Kranz, M.","Jakobs, D. & Kranz, M.","David Jakobs (Trier University)|Marco Kranz (Trier University, Germany)","16899069,79849881"
72597183,15039073,Arminda hierroensis,RedListAssessors,"Hochkirch, A.","Hochkirch, A.","Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)",13179435
72597183,15039073,Arminda hierroensis,RedListEvaluators,"Odé, B. & García, M.","Odé, B. & García, M.",Baudewijn Odé (IUCN SSC Grasshopper Specialist Group)|Mariana García (IUCN Global Species Programme),"13179417,56211724"
72597183,15039073,Arminda hierroensis,RedListContributors,"Jakobs, D. & Kranz, M.","Jakobs, D. & Kranz, M.","David Jakobs (Trier University)|Marco Kranz (Trier University, Germany)","16899069,79849881"
72597377,15039077,Arminda lancerottensis,RedListAssessors,"Hochkirch, A.","Hochkirch, A.","Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)",13179435
72597377,15039077,Arminda lancerottensis,RedListEvaluators,"Odé, B. & García, M.","Odé, B. & García, M.",Baudewijn Odé (IUCN SSC Grasshopper Specialist Group)|Mariana García (IUCN Global Species Programme),"13179417,56211724"
72597377,15039077,Arminda lancerottensis,RedListContributors,"Jakobs, D. & Kranz, M.","Jakobs, D. & Kranz, M.","David Jakobs (Trier University)|Marco Kranz (Trier University, Germany)","16899069,79849881"
72597626,15039154,Arminda latifrons,RedListAssessors,"Hochkirch, A.","Hochkirch, A.","Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)",13179435
72597626,15039154,Arminda latifrons,RedListEvaluators,"Odé, B. & García, M.","Odé, B. & García, M.",Baudewijn Odé (IUCN SSC Grasshopper Specialist Group)|Mariana García (IUCN Global Species Programme),"13179417,56211724"
72597626,15039154,Arminda latifrons,RedListContributors,"Jakobs, D. & Kranz, M.","Jakobs, D. & Kranz, M.","David Jakobs (Trier University)|Marco Kranz (Trier University, Germany)","16899069,79849881"
72597797,15039158,Arminda palmae,RedListAssessors,"Hochkirch, A.","Hochkirch, A.","Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)",13179435
72597797,15039158,Arminda palmae,RedListEvaluators,"Odé, B. & García, M.","Odé, B. & García, M.",Baudewijn Odé (IUCN SSC Grasshopper Specialist Group)|Mariana García (IUCN Global Species Programme),"13179417,56211724"
72597797,15039158,Arminda palmae,RedListContributors,"Jakobs, D. & Kranz, M.","Jakobs, D. & Kranz, M.","David Jakobs (Trier University)|Marco Kranz (Trier University, Germany)","16899069,79849881"
72598361,15038705,Calliptamus plebeius,RedListAssessors,"Hochkirch, A.","Hochkirch, A.","Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)",13179435
72598361,15038705,Calliptamus plebeius,RedListEvaluators,"Odé, B. & García, M.","Odé, B. & García, M.",Baudewijn Odé (IUCN SSC Grasshopper Specialist Group)|Mariana García (IUCN Global Species Programme),"13179417,56211724"
72598361,15038705,Calliptamus plebeius,RedListContributors,"Kranz, M. & Jakobs, D.","Kranz, M. & Jakobs, D.","David Jakobs (Trier University)|Marco Kranz (Trier University, Germany)","79849881,16899069"
73151788,73150770,Festuca gamisansii subsp. gamisansii,RedListAssessors,"","Gamisans, J.",Jaques Gamisans (Mediterranean Island Plant SG),4906
73151788,73150770,Festuca gamisansii subsp. gamisansii,RedListEvaluators,"","Jeanmonod, D., Nery, L., Delage, A. & Allen, D.J.","David Allen (IUCN)|Daniel Jeanmonod (Conservatoire et Jardin Botanique Geneve, CH)|Alain Delage (Conservatoire Botanique de la Corse)|Léo Nery (Conservatoire Botanique de la Corse)","4230,87454707,87454706,305"
74225114,15038696,Calliptamus madeirae,RedListAssessors,"Hochkirch, A., Aguiar, A. & Kocarek, P.","Hochkirch, A., Aguiar, A. & Kocarek, P.","Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)|Petr Kocarek (IUCN SSC Grasshopper Specialist Group)|Antonio Aguiar","13179435,92626688,44830970"
