assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
952453,162910,Chtenopteryx sicula,ANIMALIA,MOLLUSCA,BATHYTEUTHIDA,CEPHALOPODA,CHTENOPTERYGIDAE,Chtenopteryx,sicula,,,,"(Verany, 1851)",Data Deficient,,3.1,Unknown,Global
958660,162963,Muusoctopus pseudonymus,ANIMALIA,MOLLUSCA,OCTOPODA,CEPHALOPODA,ENTEROCTOPODIDAE,Muusoctopus,pseudonymus,,,,"(Grimpe, 1922)",Data Deficient,,3.1,Unknown,Global
969491,163079,Mastigoteuthis atlantica,ANIMALIA,MOLLUSCA,OEGOPSIDA,CEPHALOPODA,MASTIGOTEUTHIDAE,Mastigoteuthis,atlantica,,,,"Joubin, 1933",Data Deficient,,3.1,Unknown,Global
986248,163225,Grimpoteuthis umbellata,ANIMALIA,MOLLUSCA,OCTOPODA,CEPHALOPODA,OPISTHOTEUTHIDAE,Grimpoteuthis,umbellata,,,,"(Fischer, 1883)",Data Deficient,,3.1,Unknown,Global
988641,163238,Planctoteuthis levimana,ANIMALIA,MOLLUSCA,OEGOPSIDA,CEPHALOPODA,CHIROTEUTHIDAE,Planctoteuthis,levimana,,,,"(Lönnberg, 1896)",Data Deficient,,3.1,Unknown,Global
1077672,165121,Lycopodium madeirense,PLANTAE,TRACHEOPHYTA,LYCOPODIALES,LYCOPODIOPSIDA,LYCOPODIACEAE,Lycopodium,madeirense,,,,J.H.Wilce,Vulnerable,C2a(i),3.1,Decreasing,Global & Europe
1079182,165231,Asplenium azoricum,PLANTAE,TRACHEOPHYTA,POLYPODIALES,POLYPODIOPSIDA,ASPLENIACEAE,Asplenium,azoricum,,,,"(Milde) Lovis, Rasbach &amp; Reichst.",Least Concern,,3.1,Stable,Global & Europe
1316965,170827,Tandonia melanica,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,MILACIDAE,Tandonia,melanica,,,,"Wiktor, 1986",Least Concern,,3.1,Unknown,Global & Europe
1316979,170828,Bulgarica iniucunda,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,CLAUSILIIDAE,Bulgarica,iniucunda,,,,"(R.A. Brandt, 1962)",Least Concern,,3.1,Unknown,Global & Europe
1316993,170829,Micridyla pinteri,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,CLAUSILIIDAE,Micridyla,pinteri,,,,"(H. Nordsieck, 1973)",Least Concern,,3.1,Unknown,Global & Europe
1317224,170831,Delima blanda,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,CLAUSILIIDAE,Delima,blanda,,,,"(Rossmässler, 1836)",Least Concern,,3.1,Stable,Global & Europe
