assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
42461459,42428293,Atyaephyra thyamisensis,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Atyaephyra,thyamisensis,,,,"Christodoulou, Antoniou, Magoulas &amp; Koukouras, 2012",Least Concern,,3.1,Unknown,Global
42463679,42463645,Nomada cretensis,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Nomada,cretensis,,,,"Schulz, 1906",Near Threatened,,3.1,Stable,Global & Europe
43114098,19198726,Andrena grossella,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,ANDRENIDAE,Andrena,grossella,,,,"Grünwaldt, 1976",Data Deficient,,3.1,Unknown,Global & Europe
43364385,19199403,Lasioglossum leucomontanum,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,HALICTIDAE,Lasioglossum,leucomontanum,,,,"Ebmer, 1981",Data Deficient,,3.1,Unknown,Global & Europe
43365979,19199243,Lasioglossum ariadne,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,HALICTIDAE,Lasioglossum,ariadne,,,,"Ebmer, 1981",Data Deficient,,3.1,Unknown,Global & Europe
43509253,19199653,Andrena chelma,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,ANDRENIDAE,Andrena,chelma,,,,"Warncke, 1975",Data Deficient,,3.1,Unknown,Global & Europe
43509688,21138032,Andrena ebmerella,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,ANDRENIDAE,Andrena,ebmerella,,,,"Scheuchl, 2011",Data Deficient,,3.1,Unknown,Global & Europe
43509986,19199759,Andrena helenica,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,ANDRENIDAE,Andrena,helenica,,,,"Warncke, 1965",Data Deficient,,3.1,Unknown,Global & Europe
43510530,19198891,Andrena muscaria,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,ANDRENIDAE,Andrena,muscaria,,,,"Warncke, 1965",Data Deficient,,3.1,Unknown,Global & Europe
43510570,19199467,Andrena neovirida,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,ANDRENIDAE,Andrena,neovirida,,,,"Grünwaldt, 2005",Data Deficient,,3.1,Unknown,Global & Europe
43959301,157814,Anaglyptus luteofasciatus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,CERAMBYCIDAE,Anaglyptus,luteofasciatus,,,,"Pic, 1905",Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,"Global, Europe & Mediterranean"
43959900,157893,Anaglyptus praecellens,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,CERAMBYCIDAE,Anaglyptus,praecellens,,,,"Holzschuh, 1981",Endangered,"B1ab(iii,v)+2ab(iii,v)",3.1,Decreasing,"Global, Europe & Mediterranean"
43996816,157864,Isotomus jarmilae,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,CERAMBYCIDAE,Isotomus,jarmilae,,,,"Slama, 1982",Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,"Global, Europe & Mediterranean"
44113885,157668,Ampedus karneri,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,ELATERIDAE,Ampedus,karneri,,,,"Schimmel , 1996",Data Deficient,,3.1,Unknown,"Global, Europe & Mediterranean"
