assessmentId,internalTaxonId,scientificName,type,text,full,value,order
13309607,13307748,Colletes standfussi,RedListEvaluators,"Miller, R.M., Nieto, A. & Roberts, S.","Miller, R.M., Nieto, A. & Roberts, S.","Ana Nieto (IUCN)|Rebecca Miller (IUCN Red List of Ecosystems)|Stuart Roberts (Bees, Wasps & Ants Recording Society)","423,212,13152896"
13318550,13317994,Panurginus schwarzi,RedListAssessors,"Michez, D. & Nieto, A.","Michez, D. & Nieto, A.",Ana Nieto (IUCN)|Denis Michez (European Bee Specialist),"13215558,212"
13318550,13317994,Panurginus schwarzi,RedListEvaluators,"Roberts, S. & Bilz, M.","Roberts, S. & Bilz, M.","Melanie Bilz (Red List Unit)|Stuart Roberts (Bees, Wasps & Ants Recording Society)","13152896,246"
13318550,13317994,Panurginus schwarzi,RedListContributors,"Ortiz Sánchez, F.J. & Patiny, S.","Ortiz Sánchez, F.J. & Patiny, S.",Sebastien Patiny (European bee expert)|F. Javier Ortiz Sánchez (Bee expert),"19889897,15307927"
13321552,13320615,Ceratina teunisseni,RedListAssessors,"Terzo, M. & Nieto, A.","Terzo, M. & Nieto, A.",Ana Nieto (IUCN)|Michael Terzo (European bee specialist),"15226337,212"
13321552,13320615,Ceratina teunisseni,RedListEvaluators,"Bilz, M. & Roberts, S.","Bilz, M. & Roberts, S.","Melanie Bilz (Red List Unit)|Stuart Roberts (Bees, Wasps & Ants Recording Society)","246,13152896"
13340046,13338039,Halictus holomelaenus,RedListAssessors,"Michez, D., Nieto, A. & Pauly, A.","Michez, D., Nieto, A. & Pauly, A.",Ana Nieto (IUCN)|Denis Michez (European Bee Specialist)|Alain Pauly (European Bee Red List),"13215558,212,17223187"
13340046,13338039,Halictus holomelaenus,RedListEvaluators,"Bilz, M. & Roberts, S.","Bilz, M. & Roberts, S.","Melanie Bilz (Red List Unit)|Stuart Roberts (Bees, Wasps & Ants Recording Society)","246,13152896"
13340050,13338042,Seladonia inpilosa,RedListAssessors,"Michez, D., Nieto, A. & Pauly, A.","Michez, D., Nieto, A. & Pauly, A.",Ana Nieto (IUCN)|Denis Michez (European Bee Specialist)|Alain Pauly (European Bee Red List),"13215558,212,17223187"
13340050,13338042,Seladonia inpilosa,RedListEvaluators,"Bilz, M. & Roberts, S.","Bilz, M. & Roberts, S.","Melanie Bilz (Red List Unit)|Stuart Roberts (Bees, Wasps & Ants Recording Society)","246,13152896"
17046366,17046314,Dolichopoda hussoni,RedListAssessors,"Willemse, L.P.M., Hochkirch, A., Kati, V., Papapavlou, K., Tzirkalli, E. & Heller, K.-G.","Willemse, L.P.M., Hochkirch, A., Kati, V., Papapavlou, K., Tzirkalli, E. & Heller, K.-G.","Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)|Luc Willemse (IUCN SSC Grasshopper Specialist Group)|Klaus-Gerhard Heller (IUCN SSC Grasshopper Specialist Group)|Elli Tzirkalli (Cyprus Butterfly Study Group & University of Ioannina)|Vassiliki Kati|Kelly Papapavlou","13985563,13179435,87583891,87583955,63957748,44830971"
17046366,17046314,Dolichopoda hussoni,RedListEvaluators,"Bushell, M., Cálix, M. & Nieto, A.","Bushell, M., Cálix, M. & Nieto, A.","Ana Nieto (IUCN)|Mark Bushell (Bristol Zoo, United Kingdom)|Marta Cálix (IUCN European Red List)","42907552,84986092,212"
17046366,17046314,Dolichopoda hussoni,RedListContributors,"Danielczak, A.","Danielczak, A.",Anja Danielczak (Trier University (Greek Orthoptera Assessor)),47462037
17046366,17046314,Dolichopoda hussoni,RedListFacilitators,"","García, M.",Mariana García (IUCN Global Species Programme),56211724
17891947,16084525,Oropodisma chelmosi,RedListAssessors,"Willemse, L.P.M., Hochkirch, A., Kati, V., Papapavlou, K., Tzirkalli, E. & Heller, K.-G.","Willemse, L.P.M., Hochkirch, A., Kati, V., Papapavlou, K., Tzirkalli, E. & Heller, K.-G.","Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)|Luc Willemse (IUCN SSC Grasshopper Specialist Group)|Klaus-Gerhard Heller (IUCN SSC Grasshopper Specialist Group)|Elli Tzirkalli (Cyprus Butterfly Study Group & University of Ioannina)|Vassiliki Kati|Kelly Papapavlou","13985563,13179435,87583891,87583955,63957748,44830971"
17891947,16084525,Oropodisma chelmosi,RedListEvaluators,"Bushell, M., Cálix, M. & Nieto, A.","Bushell, M., Cálix, M. & Nieto, A.","Ana Nieto (IUCN)|Mark Bushell (Bristol Zoo, United Kingdom)|Marta Cálix (IUCN European Red List)","42907552,84986092,212"
17891947,16084525,Oropodisma chelmosi,RedListFacilitators,"","García, M.",Mariana García (IUCN Global Species Programme),56211724
