assessmentId,scientificName,internalTaxonId,doi
47995800,Sphecodes creticus,47981998,https://dx.doi.org/10.2305/IUCN.UK.2014-2.RLTS.T47981998A47995800.en
48031475,Agoliinus pittinoi,47943578,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T47943578A48031475.en
48031890,Nobius rhodiensis,47944402,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T47944402A48031890.en
48032052,Paracoptochirus kozanensis,47945259,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T47945259A48032052.en
48032062,Paracoptochirus vignai,47945322,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T47945322A48032062.en
50137978,Megachile cressa,19199706,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T19199706A50137978.en
50142482,Megachile semicircularis,19198908,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T19198908A50142482.en
53713070,Kretania psylorita,173274,https://dx.doi.org/10.2305/IUCN.UK.2015-2.RLTS.T173274A53713070.en
53714375,Hipparchia cretica,173287,https://dx.doi.org/10.2305/IUCN.UK.2015-2.RLTS.T173287A53714375.en
64557835,Coenonympha thyrsis,173214,https://dx.doi.org/10.2305/IUCN.UK.2015-2.RLTS.T173214A64557835.en
64563270,Hipparchia christenseni,173305,https://dx.doi.org/10.2305/IUCN.UK.2015-2.RLTS.T173305A64563270.en
64809060,Maniola chia,173252,https://dx.doi.org/10.2305/IUCN.UK.2015-2.RLTS.T173252A64809060.en
64821523,Pseudochazara graeca,173225,https://dx.doi.org/10.2305/IUCN.UK.2015-2.RLTS.T173225A64821523.en
64823983,Zerynthia cretica,173219,https://dx.doi.org/10.2305/IUCN.UK.2015-2.RLTS.T173219A64823983.en
69264218,Megachile rhodosiaca,19198691,https://dx.doi.org/10.2305/IUCN.UK.2015-1.RLTS.T19198691A69264218.en
69638033,Chorthippus ferdinandi,69637992,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T69637992A69638033.en
69668556,Ovaliptila kinzelbachi,69668544,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T69668544A69668556.en
69668595,Ovaliptila krueperi,69668585,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T69668585A69668595.en
69668760,Ovaliptila lindbergi,69668679,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T69668679A69668760.en
69668802,Ovaliptila nana,69668788,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T69668788A69668802.en
69668850,Ovaliptila newmanae,69668847,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T69668847A69668850.en
69669501,Ovaliptila wettsteini,69669391,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T69669391A69669501.en
69680725,Rhacocleis silvestrii,44698100,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T44698100A69680725.en
69681546,Gryllomorpha cretensis,69681526,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T69681526A69681546.en
70432562,Chorthippus lacustris,14870997,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T14870997A70432562.en
70564378,Chorthippus biroi,16084579,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T16084579A70564378.en
70564582,Chorthippus moreanus,16084612,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T16084612A70564582.en
70564761,Chorthippus parnon,16084456,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T16084456A70564761.en
70565847,Chorthippus pulloides,16084479,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T16084479A70565847.en
70565854,Chorthippus sangiorgii,16084530,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T16084530A70565854.en
70566026,Oedipoda venusta,16084625,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T16084625A70566026.en
70566490,Oropodisma kyllinii,16084417,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T16084417A70566490.en
70566509,Oropodisma lagrecai,16084623,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T16084623A70566509.en
70566636,Oropodisma parnassica,16084516,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T16084516A70566636.en
70566653,Oropodisma taygetosi,16084561,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T16084561A70566653.en
70566762,Oropodisma tymphrestosi,16084584,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T16084584A70566762.en
70567218,Pezotettix lagoi,16084574,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T16084574A70567218.en
70567692,Xerohippus solerii,16084408,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T16084408A70567692.en
70567952,Gryllotalpa krimbasi,68380920,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T68380920A70567952.en
70567979,Mogoplistes kinzelbachi,68439867,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T68439867A70567979.en
70568039,Glyphanus obtusus,44698010,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T44698010A70568039.en
70571529,Orchamus raulinii,68444850,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T68444850A70571529.en
70572638,Acrometopa cretensis,64337698,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T64337698A70572638.en
