assessmentId,internalTaxonId,scientificName,code,name,note
70568039,44698010,Glyphanus obtusus,2.1,Site/area management,""
70571529,68444850,Orchamus raulinii,2.1,Site/area management,""
70588894,45466779,Poecilimon paros,2.1,Site/area management,""
70590078,45466695,Poecilimon soulion,2.1,Site/area management,""
70593507,17046304,Dolichopoda dalensi,2.1,Site/area management,""
70593507,17046304,Dolichopoda dalensi,1.1,Site/area protection,""
70594650,68314157,Dolichopoda graeca,2.1,Site/area management,""
70595257,17046317,Dolichopoda ithakii,1.2,Resource & habitat protection,""
70595921,17046297,Dolichopoda lustriae,1.2,Resource & habitat protection,""
70596267,68314461,Dolichopoda matsakisi,2.1,Site/area management,""
70596318,68314517,Dolichopoda naxia,2.1,Site/area management,""
70613718,70613694,Dolichopoda giulianae,2.1,Site/area management,""
70613718,70613694,Dolichopoda giulianae,1.1,Site/area protection,""
70623051,17046327,Dolichopoda pavesii,2.1,Site/area management,""
70623051,17046327,Dolichopoda pavesii,1.1,Site/area protection,""
70623319,68314680,Dolichopoda petrochilosi,2.1,Site/area management,""
70623658,68485565,Troglophilus marinae,2.1,Site/area management,""
70623690,64529440,Anadrymadusa brevipennis,2.1,Site/area management,""
70624269,44711866,Eupholidoptera pallipes,2.1,Site/area management,""
70624635,68450071,Parnassiana chelmos,2.1,Site/area management,""
70624651,68450152,Parnassiana coracis,2.1,Site/area management,""
70624666,68450165,Parnassiana dirphys,2.1,Site/area management,""
70624681,68450223,Parnassiana fusca,2.1,Site/area management,""
70624696,68450237,Parnassiana gionica,1.1,Site/area protection,""
70624696,68450237,Parnassiana gionica,2.1,Site/area management,""
70624696,68450237,Parnassiana gionica,2.3,Habitat & natural process restoration,""
70624711,68450241,Parnassiana menalon,2.1,Site/area management,""
70624738,68450251,Parnassiana nigromarginata,2.1,Site/area management,""
70624763,68450271,Parnassiana panaetolikon,2.1,Site/area management,""
70624784,68450303,Parnassiana parnassica,2.1,Site/area management,""
70624834,68450311,Parnassiana parnon,2.1,Site/area management,""
70624861,68450318,Parnassiana tenuis,2.1,Site/area management,""
70624888,68450364,Parnassiana tymphiensis,2.1,Site/area management,""
70624904,68450372,Parnassiana tymphrestos,1.1,Site/area protection,""
70624951,68451909,Pholidoptera lucasi,2.1,Site/area management,""
70625066,44698051,Rhacocleis crypta,2.1,Site/area management,""
70625081,44698053,Rhacocleis derrai,2.1,Site/area management,""
70625107,44698055,Rhacocleis distinguenda,2.1,Site/area management,""
70625171,44698059,Rhacocleis ferdinandi,2.1,Site/area management,""
70625171,44698059,Rhacocleis ferdinandi,1.2,Resource & habitat protection,""
70625171,44698059,Rhacocleis ferdinandi,1.1,Site/area protection,""
