subspeciesname	Order	n_locations	n_sites	eoo	eoo_overlap	eoo_natura	eoo_wildlife	aoo	aoo_natura	aoo_wildlife	potentially_VU	potentially_EN	potentially_CR	paca	iucn	threatened	gbif	gbif_id	class	family	genus	kingdom	order	phylum	species	subspecies
Harpactea coccifera	Araneae	17	20	6063.56455385479	5400.45872036432	1747.73328919394	415.754205353847	79.9677877528196	30.9944703858586	5.81956026880748	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	2139121	2139121	Arachnida	Dysderidae	Harpactea	Animalia	Araneae	Arthropoda	Harpactea coccifera	NA
Megaphyllum cretica	Diplopoda	33	85	9756.80732393922	6138.39979531992	1876.24104074545	431.377773955505	200.058366950152	113.986477388802	33.1265745819729	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	4986157	4986157	Diplopoda	Julidae	Italoiulus	Animalia	Julida	Arthropoda	Italoiulus creticus	NA
Pogonocherus creticus	Coleoptera	3	3	525.92838949695	490.338582565102	86.5412393818654	28.6943784685181	12.0182186990439	1.61380867157247	0	TRUE	TRUE	FALSE	LT	EN	TRUE	1133749	1133749	Insecta	Cerambycidae	Pogonocherus	Animalia	Coleoptera	Arthropoda	Pogonocherus creticus	NA
Raiboscelis corvinus corvinus	Coleoptera	48	156	12991.5708751912	8161.73200545913	2242.62343303547	587.256725472798	429.933827853284	213.330881554902	68.9321843519334	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	7343267	7343267	Insecta	Tenebrionidae	Raiboscelis	Animalia	Coleoptera	Arthropoda	Raiboscelis corvinus	Raiboscelis corvinus corvinus
Scolopendra cretica	Chilopoda	88	469	16325.4705788115	8246.79826588882	2284.09293219502	571.973930694488	955.844042336723	414.819864178105	124.903465194852	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tapinopterus creticus	Coleoptera	47	367	10542.3856523896	6690.14355356864	2020.97272531325	464.783106997534	467.767554211219	251.68083138537	52.3406785956289	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	4472274	4472274	Insecta	Carabidae	Tapinopterus	Animalia	Coleoptera	Arthropoda	Tapinopterus creticus	NA
Troglophilus spinulosus	Orthoptera	58	273	12157.019184115	7647.14085615925	2137.01289384995	531.942204005235	439.853751766753	199.765368147202	65.2906696843796	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Zelotes daidalus	Araneae	16	24	12052.4515310638	7802.44407651003	2161.27811865942	548.356705343272	91.9868172411181	34.9338862511312	14.8636063176112	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	2132501	2132501	Arachnida	Gnaphosidae	Zelotes	Animalia	Araneae	Arthropoda	Zelotes shaked	NA
Hydraena subinura	Coleoptera	11	13	6508.07315952394	5834.83682431986	1882.33682348887	413.557178424055	51.9898467580912	8.49888301366418	1.05909613163641	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	5748077	5748077	Insecta	Hydraenidae	Hydraena	Animalia	Coleoptera	Arthropoda	Hydraena subinura	NA
Jekelius brullei creticus	Coleoptera	34	96	7183.2501722425	5908.88524159586	1814.73038700893	383.204245778112	248.840633157947	146.433934892074	46.5001650313142	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	4425651	4425651	Insecta	Geotrupidae	Jekelius	Animalia	Coleoptera	Arthropoda	Jekelius brullei	Jekelius brullei creticus
Malthonica minoa	Araneae	16	20	7515.06280883672	5920.1524005242	1754.1601100428	399.546212017617	84.2512805171937	26.8626542221979	5.96901353653967	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	2139625	2139625	Arachnida	Agelenidae	Malthonica	Animalia	Araneae	Arthropoda	Malthonica minoa	NA
Zabrus oertzeni	Coleoptera	2	2	NA	NA	NA	NA	8.03091266306886	5.67229085455621	0	TRUE	TRUE	FALSE	LT	EN	TRUE	4473175	4473175	Insecta	Carabidae	Zabrus	Animalia	Coleoptera	Arthropoda	Zabrus oertzeni	NA
Eupholidoptera latens	Orthoptera	14	47	1188.93908667215	1107.15262344014	431.968438470465	72.3279506972359	160.425076847052	98.9617051346931	18.4990567654367	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	1690241	1690241	Insecta	Tettigoniidae	Eupholidoptera	Animalia	Orthoptera	Arthropoda	Eupholidoptera latens	NA
Maimuna cretica	Araneae	52	74	9303.93711960607	6897.92976433752	1897.59949372938	460.120857064473	313.06041124782	100.002912932941	20.2537719639475	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	2139640	2139640	Arachnida	Agelenidae	Maimuna	Animalia	Araneae	Arthropoda	Maimuna cretica	NA
Platyderus jedlickai	Coleoptera	25	57	6286.7406398181	5544.26880649659	1661.09032210352	355.526564640018	128.014824518739	65.6517908545439	22.0946279782849	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	7793842	7793842	Insecta	Carabidae	Platyderus	Animalia	Coleoptera	Arthropoda	Platyderus jedlickai	NA
Tychus reitterianus	Coleoptera	23	37	3604.5963399928	3411.96212925242	1212.12979764789	181.512441752815	159.887430541828	72.904775732192	13.5502160898231	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	4442280	4442280	Insecta	Staphylinidae	Tychus	Animalia	Coleoptera	Arthropoda	Tychus reitterianus	NA
Acanthopetalum minotauri	Diplopoda	30	104	6859.91617223051	5687.68104914932	1541.62018088253	336.62801754957	172.733217731651	65.2655978919409	34.4177791043001	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	1011788	1011788	Diplopoda	Schizopetalidae	Acanthopetalum	Animalia	Callipodida	Arthropoda	Acanthopetalum minotauri	NA
Acmaeodera flavolineata piloselloides	Coleoptera	33	45	9614.48950321901	7290.21217343145	1968.57104037805	481.61325626129	172.697792266844	62.2448495038323	10.1616952947245	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	4431365	4431365	Insecta	Buprestidae	Acmaeodera	Animalia	Coleoptera	Arthropoda	Acmaeodera flavolineata	Acmaeodera flavolineata piloselloides
Acmaeodera saxicola minoa	Coleoptera	24	38	6958.85918971442	5811.33968955555	1774.31449184386	421.312724366845	164.626674818381	62.9129626574166	15.9421259853961	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	4431428	4431428	Insecta	Buprestidae	Acmaeodera	Animalia	Coleoptera	Arthropoda	Acmaeodera saxicola	Acmaeodera saxicola minoa
Anthaxia schoenmanni	Coleoptera	30	32	8814.3649699782	6666.68887563253	1875.93010234842	435.669103344064	148.589363211951	35.84045495329	11.9483294322032	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	4431853	4431853	Insecta	Buprestidae	Anthaxia	Animalia	Coleoptera	Arthropoda	Anthaxia schoenmanni	NA
Dailognatha quadricollis plicata	Coleoptera	7	29	2713.46752329498	1519.30126856608	734.880737511404	116.234754023529	72.0115236211771	41.7223758059972	3.75878601568436	TRUE	FALSE	FALSE	PT	VU	TRUE	4455348	4455348	Insecta	Tenebrionidae	Dailognatha	Animalia	Coleoptera	Arthropoda	Dailognatha quadricollis	Dailognatha quadricollis plicata
Dendarus falassarnensis	Coleoptera	1	2	NA	NA	NA	NA	4.00383169602605	0.121034420104127	0	TRUE	TRUE	TRUE	LT	CR	TRUE	8896694	8896694	Insecta	Tenebrionidae	Dendarus	Animalia	Coleoptera	Arthropoda	Dendarus falassarnensis	NA
Harpactea cressa	Araneae	26	32	8183.45542826778	6136.76923293089	1670.48495323755	377.743048412401	127.909431259067	41.9493863207977	8.87240273581322	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	2139044	2139044	Arachnida	Dysderidae	Harpactea	Animalia	Araneae	Arthropoda	Harpactea cressa	NA
Heliophanus creticus	Araneae	24	33	4905.79047695201	4413.87990210078	1519.6441517501	301.88875773898	148.504185173089	48.4296936766825	13.3014177159858	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	2171990	2171990	Arachnida	Salticidae	Heliophanus	Animalia	Araneae	Arthropoda	Heliophanus creticus	NA
Monomorium creticum	Hymenoptera	46	81	10403.6641948358	7038.87123223409	2035.91574572329	505.902220198154	320.033463183757	138.971797193113	61.6788949488502	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Poecilimon cretensis	Orthoptera	43	127	12660.41289232	7677.61260160323	2130.12006319376	535.316072306906	320.006172402267	161.921750510107	48.9271232665016	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	1688283	1688283	Insecta	Tettigoniidae	Poecilimon	Animalia	Orthoptera	Arthropoda	Poecilimon cretensis	NA
Zelotes chaniaensis	Araneae	12	14	6518.3922540828	5087.08604443711	1455.94371595996	311.538542488524	52.1819640800042	23.5059017969292	2.2038992482712	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	7472497	7472497	Arachnida	Gnaphosidae	Zelotes	Animalia	Araneae	Arthropoda	Zelotes chaniaensis	NA
Dendarus grampusanus	Coleoptera	1	4	0	0	0	0	3.99861639461435	0.649784763492907	0	TRUE	TRUE	TRUE	LT	CR	TRUE	8979961	8979961	Insecta	Tenebrionidae	Dendarus	Animalia	Coleoptera	Arthropoda	Dendarus grampusanus	NA
Rhodostrophia cretacaria	Lepidoptera	12	12	4240.07162552563	3721.89503846122	1255.07946124882	222.304817254609	52.1621559392939	12.3897073678331	0.462213922362399	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	1966983	1966983	Insecta	Geometridae	Rhodostrophia	Animalia	Lepidoptera	Arthropoda	Rhodostrophia cretacaria	NA
Zelotes minous	Araneae	8	10	11128.0265257809	7029.5129922979	2032.28369199792	507.956468414399	39.9523913635431	17.5477968843617	0.193180438738507	TRUE	FALSE	FALSE	PT	VU	TRUE	2132376	2132376	Arachnida	Gnaphosidae	Zelotes	Animalia	Araneae	Arthropoda	Zelotes minous	NA
Pholcus creticus	Araneae	7	7	3415.55665462565	2974.1985015355	1026.57770012326	173.055910672898	28.0984043651344	13.9690832355629	1.55362913171391	TRUE	FALSE	FALSE	PT	VU	TRUE	2149997	2149997	Arachnida	Pholcidae	Pholcus	Animalia	Araneae	Arthropoda	Pholcus creticus	NA
Stenopterus creticus	Coleoptera	24	39	5901.30140545598	5306.71576783067	1744.21557199692	397.418970253457	135.931589771394	35.5036594786748	21.0289391719223	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	5005600	5005600	Insecta	Cerambycidae	Stenopterus	Animalia	Coleoptera	Arthropoda	Stenopterus creticus	NA
Stictoleptura cordigera anojiaensis	Coleoptera	16	28	3128.9772808882	3126.32476522369	1410.98104999111	312.756391385718	87.9741019704255	30.7424778429661	11.0347327458748	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Strigopteroides margotanae	Coleoptera	2	3	0	0	0	0	8.03247323578394	0.00355305338632193	0	TRUE	TRUE	FALSE	LT	EN	TRUE	5744410	5744410	Insecta	Buprestidae	Strigopteroides	Animalia	Coleoptera	Arthropoda	Strigopteroides margotanae	NA
Strongylogaster cretensis	Hymenoptera	12	16	1824.09625791641	1652.30943581415	546.700201097201	84.063435567302	68.1925305320706	28.134693173383	4.86816474982587	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	9143465	9143465	Insecta	Tenthredinidae	Strongylogaster	Animalia	Hymenoptera	Arthropoda	Strongylogaster multifasciata	NA
Theridion helena	Araneae	27	36	7673.54782888695	6009.37933687476	1839.94766842703	453.831340135106	160.752217603325	54.8826475455052	10.1048069927201	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	8134855	8134855	Arachnida	Theridiidae	Theridion	Animalia	Araneae	Arthropoda	Theridion helena	NA
Trichoferus bergeri	Coleoptera	8	9	4127.68526247123	3940.54240034346	1494.44420585365	331.396366566372	35.961253998038	6.68735834727237	5.40355077271794e-4	TRUE	FALSE	FALSE	PT	VU	TRUE	1151419	1151419	Insecta	Cerambycidae	Trichoferus	Animalia	Coleoptera	Arthropoda	Trichoferus bergeri	NA
Zodarion spinibarbe	Araneae	40	50	8436.64113720762	6715.45676848521	1871.54617703132	466.174847871829	204.923773709641	43.3087540675291	12.4819775651858	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	6719813	6719813	Arachnida	Zodariidae	Zodarion	Animalia	Araneae	Arthropoda	Zodarion spinibarbe	NA
Agapanthia cynarae michaeli	Coleoptera	13	18	4031.5934489904	3954.32269382674	1597.67997922023	325.015370843007	64.0365411523387	16.7434556949168	3.73949499280616	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alevonota cretica	Coleoptera	10	13	1888.47286741914	1852.87876289046	854.094787774061	106.699686510281	63.9928760742514	39.858837244231	7.64478676925343	TRUE	FALSE	FALSE	PT	VU	TRUE	10590676	10590676	Insecta	Staphylinidae	Alevonota	Animalia	Coleoptera	Arthropoda	Alevonota cretica	NA
Allotyphlus foedatus	Coleoptera	7	19	653.742859209994	653.742859209994	350.794305129848	14.4449711820047	64.1704822486933	19.6900287805729	2.58720828409858	TRUE	FALSE	FALSE	PT	VU	TRUE	11183727	11183727	Insecta	Staphylinidae	Allotyphlus	Animalia	Coleoptera	Arthropoda	Allotyphlus foedatus	NA
Aloconota brachyptera	Coleoptera	4	4	588.381280158008	588.381280158008	298.560982668489	55.3710102698834	19.9939483574581	16.4714473933269	4.35365749074465	TRUE	TRUE	FALSE	LT	EN	TRUE	10332019	10332019	Insecta	Staphylinidae	Aloconota	Animalia	Coleoptera	Arthropoda	Aloconota brachyptera	NA
Amauronyx occidens	Coleoptera	1	2	NA	NA	NA	NA	12.0319355947468	11.6339680654105	0.0904260627200587	TRUE	TRUE	TRUE	LT	CR	TRUE	11136689	11136689	Insecta	Staphylinidae	Amauronyx	Animalia	Coleoptera	Arthropoda	Amauronyx occidens	NA
Aneugmenus oertzeni	Hymenoptera	9	13	1305.36568944262	1133.57886734043	294.237730383353	39.4416598716441	48.1241354663133	21.8007841168805	0.363216062296487	TRUE	FALSE	FALSE	PT	VU	TRUE	4491142	4491142	Insecta	Tenthredinidae	Aneugmenus	Animalia	Hymenoptera	Arthropoda	Aneugmenus oertzeni	NA
Astenus minos	Coleoptera	2	4	20.8803060189621	20.8803060189621	3.73292439317335	1.54034675296092	16.0513959039744	12.0379984126019	0.363020108310868	TRUE	TRUE	FALSE	LT	EN	TRUE	9985532	9985532	Insecta	Staphylinidae	Astenus	Animalia	Coleoptera	Arthropoda	Astenus minos	NA
Beraeamyia aphyrte	Trichoptera	8	9	1102.2607917636701	1102.2607917636701	552.241926216711	58.3835983019574	40.1107250192902	15.5293995815248	4.19443653567818	TRUE	FALSE	FALSE	PT	VU	TRUE	1435252	1435252	Insecta	Beraeidae	Beraeamyia	Animalia	Trichoptera	Arthropoda	Beraeamyia aphyrte	NA
Bryaxis meybohmianus	Coleoptera	10	32	1585.46535393863	1548.57792658835	683.677755568755	68.4680751510368	96.2672676230884	48.5109632997213	1.91289951905121	TRUE	FALSE	FALSE	PT	VU	TRUE	11156718	11156718	Insecta	Staphylinidae	Bryaxis	Animalia	Coleoptera	Arthropoda	Bryaxis meybohmianus	NA
Dendarus graecus	Coleoptera	27	151	4502.82737943844	4177.7043754304505	1526.60269226285	309.230127694288	263.920206839228	225.65060652434	47.1232709076912	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	9118303	9118303	Insecta	Tenebrionidae	Dendarus	Animalia	Coleoptera	Arthropoda	Dendarus graecus	NA
Deroplia troberti cruciata	Coleoptera	3	4	258.621727136915	252.784223116812	92.2420359909282	0	12.0312835287446	8.59177825027717	0	TRUE	TRUE	FALSE	LT	EN	TRUE	8853777	8853777	Insecta	Cerambycidae	Deroplia	Animalia	Coleoptera	Arthropoda	Deroplia troberti	Deroplia troberti cruciata
Gabrius candicus	Coleoptera	1	1	NA	NA	NA	NA	4.01024114872663	4.01024114872555	0	TRUE	TRUE	TRUE	LT	CR	TRUE	11148194	11148194	Insecta	Staphylinidae	Gabrius	Animalia	Coleoptera	Arthropoda	Gabrius candicus	NA
Hydropsyche rhadamanthys	Trichoptera	21	28	6304.84424721081	5648.37931100847	1740.86654480335	395.722917673404	132.531208797202	39.8421304887793	6.89534581564455	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	7800733	7800733	Insecta	Hydropsychidae	Hydropsyche	Animalia	Trichoptera	Arthropoda	Hydropsyche rhadamanthys	NA
Hydropsyche sarpedon	Trichoptera	13	18	3133.89744032922	3096.35311330257	1286.99983093869	277.754697031025	79.9182153065073	29.4707875467997	2.59448019369918	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	8212005	8212005	Insecta	Hydropsychidae	Hydropsyche	Animalia	Trichoptera	Arthropoda	Hydropsyche sarpedon	NA
Isotomus jarmilae	Coleoptera	7	11	468.287584812677	468.287584812677	242.882995023482	34.0236937583903	28.1025880195193	14.3301361979632	3.55195502303839	TRUE	FALSE	FALSE	PT	VU	TRUE	1132842	1132842	Insecta	Cerambycidae	Isotomus	Animalia	Coleoptera	Arthropoda	Isotomus jarmilae	NA
Julodis pubescens yvenii	Coleoptera	37	45	12063.1093563304	7246.23445666277	2073.69242502466	535.2937837459	200.072275567826	43.2973725109431	16.557292259159	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kenotyphlus virgatus	Coleoptera	5	8	318.831582555706	318.831582555748	189.583814282814	0.397368958921382	36.0964787494723	20.1649175709596	1.01556924029863	TRUE	TRUE	FALSE	LT	EN	TRUE	11217275	11217275	Insecta	Staphylinidae	Kenotyphlus	Animalia	Coleoptera	Arthropoda	Kenotyphlus virgatus	NA
Laena oertzeni	Coleoptera	2	2	NA	NA	NA	NA	8.02772152920387	7.00538116009764	2.16458061664581	TRUE	TRUE	FALSE	LT	EN	TRUE	8904616	8904616	Insecta	Tenebrionidae	Laena	Animalia	Coleoptera	Arthropoda	Laena oertzeni	NA
Latipalpis margotana	Coleoptera	8	10	1505.3673600283	1502.89582761279	749.698104222339	107.559702840888	44.1618374669459	12.9305801715497	1.13442554304	TRUE	FALSE	FALSE	PT	VU	TRUE	4432016	4432016	Insecta	Buprestidae	Latipalpis	Animalia	Coleoptera	Arthropoda	Latipalpis margotana	NA
Leptomastax cretica	Coleoptera	10	21	1816.35121749568	1816.35121749568	882.210674023177	153.904098313889	83.9477867172271	70.463068884488	21.4721267092672	TRUE	FALSE	FALSE	PT	VU	TRUE	11209853	11209853	Insecta	Staphylinidae	Leptomastax	Animalia	Coleoptera	Arthropoda	Leptomastax cretica	NA
Medon beroni	Coleoptera	5	11	2044.83057667232	1958.75948410541	795.362612845913	117.98694587562	39.9582305412697	4.1830218580337	0.654044017739201	TRUE	TRUE	FALSE	LT	EN	TRUE	8955463	8955463	Insecta	Staphylinidae	Medon	Animalia	Coleoptera	Arthropoda	Medon beroni	NA
Medon cerrutii	Coleoptera	21	43	3960.99780462522	3781.66493751727	1474.61000320054	259.389060213546	179.811970592693	30.5271362362122	9.5067991772957	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	9161535	9161535	Insecta	Staphylinidae	Medon	Animalia	Coleoptera	Arthropoda	Medon cerrutii	NA
Myrmecopora fornicata	Coleoptera	2	4	24.7622425887619	24.7622425887619	0	0	20.067068999573	1.34325300669481	1.55771232176677	TRUE	TRUE	FALSE	LT	EN	TRUE	4442366	4442366	Insecta	Staphylinidae	Myrmecopora	Animalia	Coleoptera	Arthropoda	Myrmecopora fornicata	NA
Oxyethira mithi	Trichoptera	12	13	4382.25114985244	4210.5030822426	1438.85662129312	338.155483226162	51.9957049101986	17.3549089983214	0.121760347880828	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	1432729	1432729	Insecta	Hydroptilidae	Oxyethira	Animalia	Trichoptera	Arthropoda	Oxyethira mithi	NA
Oxypoda retunsa	Coleoptera	7	8	1001.39532348047	1001.39532348041	440.246405839015	79.3031508090736	31.9923539380151	24.0228080701197	3.93142820371192	TRUE	FALSE	FALSE	PT	VU	TRUE	11145049	11145049	Insecta	Staphylinidae	Oxypoda	Animalia	Coleoptera	Arthropoda	Oxypoda retunsa	NA
Pedostrangalia ariadne	Coleoptera	7	13	973.122517058289	973.122517058306	441.858814012462	76.6281109328734	35.9760097214694	13.7091453181575	4.40440220340963	TRUE	FALSE	FALSE	PT	VU	TRUE	1102045	1102045	Insecta	Cerambycidae	Pedostrangalia	Animalia	Coleoptera	Arthropoda	Pedostrangalia ariadne	NA
Phytoecia coerulescens cretensis	Coleoptera	20	31	4182.3124071565	4070.15356635672	1552.13476686969	297.16615284306	108.461047250584	32.8417666294558	6.07287959674976	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	9022905	9022905	Insecta	Cerambycidae	Phytoecia	Animalia	Coleoptera	Arthropoda	Phytoecia coerulescens	Phytoecia coerulescens cretensis
Pogonocherus perroudi brevipilosus	Coleoptera	1	1	NA	NA	NA	NA	4.01208227394219	0	1.25065297845621	TRUE	TRUE	TRUE	LT	CR	TRUE	4458921	4458921	Insecta	Cerambycidae	Pogonocherus	Animalia	Coleoptera	Arthropoda	Pogonocherus perroudi	Pogonocherus perroudi brevipilosus
Proteinus creticus	Coleoptera	14	32	2773.56995576137	2744.0146762838	1202.74901142131	184.337501933385	119.998855171161	88.6316758942547	13.8916693818998	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	10217541	10217541	Insecta	Staphylinidae	Proteinus	Animalia	Coleoptera	Arthropoda	Proteinus creticus	NA
Pseudosphegesthes bergeri	Coleoptera	3	5	14.6994974223839	14.6994974224424	10.2869556402636	0.198364747575324	12.0391298869383	8.8414710765982	1.13605808739633	TRUE	TRUE	FALSE	LT	EN	TRUE	1124322	1124322	Insecta	Cerambycidae	Pseudosphegesthes	Animalia	Coleoptera	Arthropoda	Pseudosphegesthes bergeri	NA
Ptosima undecimmaculata metallescens	Coleoptera	16	18	5190.47799576248	4554.38071983089	1458.35515543568	281.546995424864	75.9252317773165	25.1635896201046	8.70335332297067	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	5744413	5744413	Insecta	Buprestidae	Ptosima	Animalia	Coleoptera	Arthropoda	Ptosima undecimmaculata	Ptosima undecimmaculata metallescens
Scopaeus muehlei	Coleoptera	5	5	2338.80382555509	2332.78826130848	1028.43557329685	193.864125314861	19.9908632630466	7.98636996683754	0.865974300595959	TRUE	TRUE	FALSE	LT	EN	TRUE	4438718	4438718	Insecta	Staphylinidae	Scopaeus	Animalia	Coleoptera	Arthropoda	Scopaeus muehlei	NA
Scydmoraphes ziegleri	Coleoptera	7	8	1825.3573277575	1666.30390825216	643.005849236404	103.951629244551	32.008410870973	6.66990680712822	0.432660791249914	TRUE	FALSE	FALSE	PT	VU	TRUE	9854858	9854858	Insecta	Staphylinidae	Scydmoraphes	Animalia	Coleoptera	Arthropoda	Scydmoraphes ziegleri	NA
Stenichnus aegialioides	Coleoptera	12	16	2402.11930465477	2316.18396206303	986.473643626205	134.492494903958	72.2493094469597	26.2197508800523	2.7528462552419	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	11164126	11164126	Insecta	Staphylinidae	Stenichnus	Animalia	Coleoptera	Arthropoda	Stenichnus aegialioides	NA
Stenichnus basimpressus	Coleoptera	6	7	766.376257730839	758.562948282039	390.833193564046	57.944587276816	24.0922868330119	17.81365817375	5.06892137943381	TRUE	FALSE	FALSE	PT	VU	TRUE	9095151	9095151	Insecta	Staphylinidae	Stenichnus	Animalia	Coleoptera	Arthropoda	Stenichnus basimpressus	NA
Stictoleptura picticornis	Coleoptera	10	20	2653.82129274611	2651.52773350284	1236.4527892398	243.715073497852	67.9706208078991	39.3539430694199	7.92505842009675	TRUE	FALSE	FALSE	PT	VU	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stictoleptura slamai	Coleoptera	5	7	2138.71856946214	2089.97130720671	948.757458337555	199.535159661913	20.0812837453647	10.9233390581672	2.79092604714399	TRUE	TRUE	FALSE	LT	EN	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
