internalTaxonId	scientificName	kingdomName	phylumName	className	orderName	familyName	genusName	speciesName	infraType	infraName	infraAuthority	subpopulationName	authority	taxonomicNotes
167298	Agrionoptera insignis	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	LIBELLULIDAE	Agrionoptera	insignis	NA	NA	NA	NA	(Rambur, 1842)	A number of subspecies of <em>Agrionoptera insignis </em>are recognised: <em>A. i. insignis</em> occurs in mainland southeast Asia and throughout Sundaland; <em>A. i. allogenes</em> Tillyard, 1908 occurs in Australia, New Guinea, the Solomon Islands and possibly New Caledonia; <em>A. i. chalcochiton</em> Ris, 1915 is known from Simalur and the Mentawai Islands; <em>A. i. insularis</em> Kirby, 1889 was described from the Solomon Islands; <em>A. i. lifuana</em> Kimmins, 1953 was described from New Caledonia; <em>A. i. nereis</em> Lieftinck, 1948 is known from Enggano; <em>A. i. nicobarica</em> Brauer, 1865 is known from the Nicobar Islands;<em> </em>&#160;<em>A. i. papuensis</em> is known from the New Guinea region. Hämälänen and Müller (1997) left the issue of the subspecific status of material from the Philippines open. <em>A. i. dorothea</em> Fraser, 1927 from west Bengal in India is sometimes considered as a distinct species, and sometimes as a subspecies or junior synonym, it is left out of consideration for the purposes of this assessment.<em> </em>Considerable confusion persists over the status of some of these subspecies and of other closely related species of <em>Agrionoptera</em>; the whole complex needs to be critically re-examined.
83154895	Salomocnemis gerdae	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	PLATYCNEMIDIDAE	Salomocnemis	gerdae	NA	NA	NA	NA	Lieftinck, 1987	NA
83124680	Ischnura chromostigma	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	COENAGRIONIDAE	Ischnura	chromostigma	NA	NA	NA	NA	Fraser, 1927	NA
83129465	Pseudagrion incisurum	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	COENAGRIONIDAE	Pseudagrion	incisurum	NA	NA	NA	NA	Lieftinck, 1949	NA
83357158	Hydrobasileus brevistylus	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	LIBELLULIDAE	Hydrobasileus	brevistylus	NA	NA	NA	NA	(Brauer, 1865)	NA
167280	Agriocnemis pygmaea	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	COENAGRIONIDAE	Agriocnemis	pygmaea	NA	NA	NA	NA	(Rambur, 1842)	"<span style=""font-style: italic;"">Agriocnemis sania</span> Nielsen, 1959 was made a subspecies of <span style=""font-style: italic;"">A. pygmaea</span> (Rambur 1942) by Pinhey (1974). Dumont (1974) redescribed the taxon and elaborated on the differences between <span style=""font-style: italic;"">A. sania</span> and <span style=""font-style: italic;"">A. pygmaea</span>, the latter being very abundant and widespread in Asia. Though more taxonomic work is needed, both species are currently considered as good species, with <span style=""font-style: italic;"">A. sania </span>occurring in northeastern Africa and <span style=""font-style: italic;"">A. pygmea </span>being widespread in southern Asia."
83150533	Teinobasis palauensis	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	COENAGRIONIDAE	Teinobasis	palauensis	NA	NA	NA	NA	Lieftinck, 1962	NA
167270	Aethriamanta brevipennis	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	LIBELLULIDAE	Aethriamanta	brevipennis	NA	NA	NA	NA	(Rambur, 1842)	NA
83305747	Hemicordulia cupricolor	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	CORDULIIDAE	Hemicordulia	cupricolor	NA	NA	NA	NA	Fraser, 1927	NA
83127539	Nesobasis caerulecaudata	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	COENAGRIONIDAE	Nesobasis	caerulecaudata	NA	NA	NA	NA	Donnelly, 1990	NA
83066996	Amorphostigma auricolor	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	COENAGRIONIDAE	Amorphostigma	auricolor	NA	NA	NA	NA	Fraser, 1927	Dijkstra <em>et al</em>. (2014) suggested that <em>Amorphostigma auricolor</em> should be transferred to <em>Ischnura</em>. However, this has not been fully justified. More recent molecular studies are in favour of <em>Amorphostigma </em>retaining a separate generic status based on morphology (Marinov, M., pers. comm.)
83125587	Ischnura taitensis	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	COENAGRIONIDAE	Ischnura	taitensis	NA	NA	NA	NA	Selys, 1876	NA
83154171	Indolestes cheesmanae	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	LESTIDAE	Indolestes	cheesmanae	NA	NA	NA	NA	(Kimmins, 1936)	NA
83127143	Melanesobasis flavilabris	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	COENAGRIONIDAE	Melanesobasis	flavilabris	NA	NA	NA	NA	(Selys, 1891)	NA
83151044	Vanuatubasis bidens	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	COENAGRIONIDAE	Vanuatubasis	bidens	NA	NA	NA	NA	(Kimmins, 1958)	NA
83304828	Gynacantha amphora	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	AESHNIDAE	Gynacantha	amphora	NA	NA	NA	NA	Marinov &amp; Theischinger, 2012	NA
83305323	Guadalca insularis	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	CORDULIIDAE	Guadalca	insularis	NA	NA	NA	NA	Kimmins, 1957	NA
83129425	Pacificagrion lachrymosa	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	COENAGRIONIDAE	Pacificagrion	lachrymosa	NA	NA	NA	NA	Fraser, 1926	NA
83127186	Melanesobasis prolixa	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	COENAGRIONIDAE	Melanesobasis	prolixa	NA	NA	NA	NA	Donnelly, 1984	NA
83306426	Hemicordulia tau	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	CORDULIIDAE	Hemicordulia	tau	NA	NA	NA	NA	Selys, 1871	Houston &amp; Watson (1988) give the synonym <em>Cordulia </em>(<em>Hemicordulia</em>) <em>tau</em>, since<em>&#160;</em>the incorrect spelling of <em>Hermicordulia </em>was given in the original description.
167183	Tramea transmarina	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	LIBELLULIDAE	Tramea	transmarina	NA	NA	NA	NA	Brauer, 1867	"The type locality for <em>Tramea transmarina transmarina </em>Brauer, 1867 is Fiji. There are several subspecies<em> T. t. euryale </em>Selys, 1878,<em> T. t. intersecta</em> Lieftinck, 1975,<em> T .t. propinqua</em> Lieftinck, 1942 and&#160;<em>T. t. yayeyamana</em> Asahina, 1964.<em> </em>The various subspecies vary in the amount of colouration at the basal hind wing, with&#160;<em>T. t. euryale </em>possessing a small dark marking from base to anal crossing (Ac). In&#160;<em>T. t. propinqua </em>the hindwings have a small dark brown marking&#160;which&#160;extends from middle of 1<sup>st </sup>and 2<sup>nd</sup> antenodal veins to distal margin of arc. The hindwing basal dark marking of&#160;<em>T. t. yayeyamana</em>&#160;are even more extensive than&#160;<em>T. t. propinqua.&#160;</em><em>&#160;T. t. intersecta </em>has an isolated almost pair-shaped spot in the hindwing anal field (Lieftinck 1975). Lieftinck (1975) confirmed that there can be no doubt that <em>T. t. intersecta</em> and other Oriental forms of the<em> limbata</em>-group having a more western distribution (i.e. <em>euryale</em> and <em>propinqua</em>) are subspecies of <em>transmarina. </em>Whether all of these forms represent synonyms or subspecies is a taxonomic minefield. In the Philippines <em>T. transmarina</em> has been recorded by Needham and Gyger (1937) as <em>Tramea limbata.<br/><br/>Trapezostigma loewii</em> (Kaup, 1866)<em>,</em> a species widespread in northern and eastern coastal areas of Australia, has recently been reconsigned as a synonym of <em>Tramea transmarina</em> (Rowe <span style=""font-style: italic;"">et al. </span>2011).<em><br/></em>"
167187	Nannophya pygmaea	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	LIBELLULIDAE	Nannophya	pygmaea	NA	NA	NA	NA	Rambur, 1842	NA
