species	aoo	aoo_natura
Raiboscelis corvinus slamai	8.00232387414147	8.00232387414065
Rhacocleis derrai	68.1225863131525	24.4394060105425
Rhodostrophia cretacaria	52.1599994838504	12.4273520732478
Rhyparochromus creticus	28.0967038071735	6.87543659426467
Ryacophila gudrunae	24.0712493106258	12.6190773838028
Saitis ariadneae	36.1387402660198	18.4302152211078
Scolopendra cretica	947.999092322615	400.519150067896
Scopaeus muehlei	19.9909594532469	7.98640853909375
Scydmoraphes fuelscheri	40.1267181391587	6.49559467591942
Scydmoraphes minotauri	31.9776133733758	4.95889521932822
Scydmoraphes ziegleri	32.0104624668008	5.14264621203853
Sepedophilus creticus	16.0061880854503	13.8237800744241
Sigara nigrolineata mendax	52.0022136128935	11.2456016267744
Sintula cretaensis	4.00011509041436	4.00011509041436
Stenichnus aegialioides	68.2405210359045	23.3525553995308
Stenichnus basimpressus	24.0915089467613	17.2652674175291
Stenichnus brachati	79.9930146488653	59.0891460718524
Stenichnus hummleri	24.052949830587	0.356113423805447
Stenichnus orientalis	8.00864147790734	0
Stenophylax minoicus	55.9925140050419	28.5981003042863
Stenopterus creticus	123.94335255895	33.2467729899349
Stenus ariadne	8.02653552868689	0
Stictoleptura cordigera anojiaensis	83.9745545793033	25.638646453511
Stictoleptura picticornis	63.9724201641913	32.3675670347058
Stictoleptura slamai	20.0807393992216	12.020664894735
Stosatea cretica	8.01904156975369	2.62738680248356
Strigopteroides margotanae	8.03216320232417	8.13243458707903e-4
Strongylogaster cretensis	56.1542619657579	18.2830441701917
Sunius diktianus	12.0089451591787	11.2438138683514
Sunius thripticus	16.0276087364585	12.0209766353213
Tapinopterus creticus	455.826229439718	257.422875447615
Tapinopterus marani marani	4.00691888863776	4.00691888865665
Tapinopterus stepaneki leucaorensis	8.02411508693809	7.97980869974202
Tapinopterus stepaneki stepaneki	8.00273592065706	8.00273592065653
Tectusa callicera	12.0401373891254	12.0401373891255
Tectusa diktiana	16.0224435364692	16.0224435364697
Tectusa thriptica	4.00725670323983	4.00725670323908
Temnothorax ariadnae	48.1895545853527	11.3002390962277
Temnothorax daidalosi	56.2018882265222	13.9370746490425
Temnothorax ikarosi	4.008305087712	3.80905416825564
Temnothorax incompletus	8.00459591104273	0.915611669376843
Temnothorax minotaurosi	8.03120027725423	5.12253805735083
Temnothorax proteii	144.603076722564	41.9629330391282
Temnothorax variabilis	60.2102262070893	19.9584885699009
Tentyria rotundata paganettii	52.1321347460659	9.61660212853952
Tentyria sporadica gavdosana	23.998542638648	17.5492251734094
Tentyria sporadica zimmermanni	4.01354986301522	2.23941202741863
Theridion helena	148.683285957204	50.8126393016309
Tinodes aligi	52.140106532104	5.77201319499001
Tinodes reisseri	132.033375527467	33.2711549662708
Tinodes rethimnon	12.0404389713922	4.7107169005124
