scientificName	n_sites	eoo	eoo_overlap
Laena wittmeri	2	NA	NA
Xanthomus ovulus	2	NA	NA
Lasius tapinomoides	9	2549.58409100231	2471.97046609547
Aloconota brachyptera	4	588.950859564451	588.950859564685
Myrmecopora fornicata	4	24.7758700812781	24.7758700812781
Myrmecopora plana	5	38.008381655602	38.008381655602
Walckenaeria hammus	2	NA	NA
Anthaxia ariadna	7	671.060498008423	671.060498008423
Anthaxia brodskyi	1	NA	NA
Anthaxia praeclara creticola	12	2540.55246596465	2535.75588304001
Harpalus sulphuripes creticus	27	1272.06301519389	1272.06301519389
Anaglyptus praecellens	11	238.050428760314	238.050428760312
Callimus angulatus glabrescens	13	1602.76836164887	1602.76836164894
Leiopus nebulosus insulanus	1	NA	NA
Purpuricenus schurmanni	10	1485.8014647121	1485.8014647121
Claviger oertzeni	2	NA	NA
Dailognatha cylindritarsis	26	7691.60584545939	4660.2046003064
Dichillus obenbergeri	2	NA	NA
Helops glabriventris jelineki	8	218.694130057179	218.694130057173
Odocnemis cretensis	25	6506.25279216019	4081.71766206825
Heterocordylus heissi	1	NA	NA
Messor creticus	6	450.717002101983	450.717002101983
Ennomos duercki	3	40.3608950011098	40.360895001085
Pareulype lasithiotica	3	576.594152305426	576.594152305426
Cephennium selinonum	1	NA	NA
Dailognatha quadricollis montana	37	1213.41068122801	1213.41068122797
Dendarus wettsteini	21	72.6692270515	72.6692270515
Astenus minos	4	21.0921565912483	21.0921565912483
Palliduphantes malickyi	4	1435.05180844741	1435.05180844741
Allantus nigrolinearis	3	424.97912440424	424.97912440424
Pristiphora cretica	6	413.615897373714	413.615897373505
Maurodactylus fulvus	3	374.375239761889	374.375239761889
Bellatheta albimontis	3	0.230653779415486	0.230653779415486
Quedius praecisus	3	42.6733376609994	42.6733376609994
Temnothorax minotaurosi	2	NA	NA
Chrysis grohmanni cretensis	3	297.551628762266	276.775715360818
Temnothorax ariadnae	11	242.13731125892	242.137311258921
Ovaliptila lindbergi	34	5267.81991346463	4652.52806767789
Heterarthrus imbrosensis	3	11.2652066560024	11.2652066560024
Boreaphilus meybohmi	6	2.6422417563421	2.64224175634306
Geostiba inexsecta	2	NA	NA
Boreaphilus fueschleri	9	869.112159070656	869.112159070656
Amischa cretica	3	1.26132719102819	1.26132719102819
Afropselaphus assingi	2	NA	NA
Ocalea cretica	5	379.280194734467	379.280194734467
Cyllecoris ernsti	3	165.091178371077	165.091178371077
Tectusa callicera	3	0.366454336179652	0.366454336185058
Kalama cretica	2	NA	NA
Atheta cretica	3	2.8019192247322	2.8019192247322
Atheta digitalis	2	NA	NA
Faronus albimontium	2	NA	NA
