subspeciesname	Order	families	n_locations	n_sites	eoo	eoo_overlap	eoo_natura	eoo_wildlife	aoo	aoo_natura	aoo_wildlife	potentially_VU	potentially_EN	potentially_CR	paca	iucn	threatened	aoo_natura_percent
Acanthopetalum minotauri	Diplopoda	Schizopetalidae	30	104	6859.91617223051	5687.68104914932	1541.62018088253	336.62801754957	168.714433229373	56.9085112370436	29.9425701212777	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.33731
Acmaeodera flavolineata piloselloides	Coleoptera	Buprestidae	33	45	9614.48950321901	7290.21217343145	1968.57104037805	481.61325626129	188.748109971738	75.0468292153693	11.6326763457171	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.3976
Acmaeodera saxicola minoa	Coleoptera	Buprestidae	24	38	6958.85918971442	5811.33968955555	1774.31449184386	421.312724366845	152.595338571261	50.6196523607117	7.03001655239847	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.33172
Anthaxia schoenmanni	Coleoptera	Buprestidae	30	32	8814.3649699782	6666.68887563253	1875.93010234842	435.669103344064	128.503035843353	28.0030522055935	6.38024390538314	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.21792
Dailognatha quadricollis plicata	Coleoptera	Tenebrionidae	7	29	2713.46752329498	1519.30126856608	734.880737511404	116.234754023529	63.973052103146	28.4804510012836	4.83802723312309	TRUE	FALSE	FALSE	PT	VU	TRUE	0.44519
Dendarus falassarnensis	Coleoptera	Tenebrionidae	1	2	NA	NA	NA	NA	4.00416478822834	0.0161135657564957	0	TRUE	TRUE	TRUE	LT	CR	TRUE	0.00402
Harpactea cressa	Araneae	Dysderidae	26	32	8183.45542826778	6136.76923293089	1670.48495323755	377.743048412401	127.906382078866	43.0749677124133	10.052795855798	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.33677
Heliophanus creticus	Araneae	Salticidae	24	33	4905.79047695201	4413.87990210078	1519.6441517501	301.88875773898	132.449419691864	44.904722435995	9.34647772112924	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.33903
Monomorium creticum	Hymenoptera	Formicidae	46	81	10403.6641948358	7038.87123223409	2035.91574572329	505.902220198154	336.086351534869	150.322979964465	59.79579317115	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.44727
Poecilimon cretensis	Orthoptera	Phaneropteridae	43	127	12660.41289232	7677.61260160323	2130.12006319376	535.316072306906	360.000233993635	189.477719036444	35.5297115863493	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.52633
Zelotes chaniaensis	Araneae	Gnaphosidae	12	14	6518.3922540828	5087.08604443711	1455.94371595996	311.538542488524	56.1825544792555	22.0372851940958	1.80474203259557	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.39224
Dendarus grampusanus	Coleoptera	Tenebrionidae	1	4	0	0	0	0	3.9985799530107	0.729358960114943	0	TRUE	TRUE	TRUE	LT	CR	TRUE	0.1824
Rhodostrophia cretacaria	Lepidoptera	Geometridae	12	12	4240.07162552563	3721.89503846122	1255.07946124882	222.304817254609	52.1599994838504	12.4273520732478	0	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.23825
Zelotes minous	Araneae	Gnaphosidae	8	10	11128.0265257809	7029.5129922979	2032.28369199792	507.956468414399	31.9872607761206	14.3148366035243	0.460999721723893	TRUE	FALSE	FALSE	PT	VU	TRUE	0.44752
Pholcus creticus	Araneae	Pholcidae	7	7	3415.55665462565	2974.1985015355	1026.57770012326	173.055910672898	28.0971273873972	13.994434805076	0.673085128365916	TRUE	FALSE	FALSE	PT	VU	TRUE	0.49807
Stenopterus creticus	Coleoptera	Cerambycidae	24	39	5901.30140545598	5306.71576783067	1744.21557199692	397.418970253457	123.94335255895	33.2467729899349	9.47703017466643	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.26824
Stictoleptura cordigera anojiaensis	Coleoptera	Cerambycidae	16	28	3128.9772808882	3126.32476522369	1410.98104999111	312.756391385718	83.9745545793033	25.638646453511	6.57103532243615	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.30531
Strigopteroides margotanae	Coleoptera	Buprestidae	2	3	0	0	0	0	8.03216320232417	8.13243458707903e-4	0	TRUE	TRUE	FALSE	LT	EN	TRUE	1e-4
Strongylogaster cretensis	Hymenoptera	Tenthredinidae	12	16	1824.09625791641	1652.30943581415	546.700201097201	84.063435567302	56.1542619657579	18.2830441701917	1.81090208347762	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.32559
Theridion helena	Araneae	Theridiidae	27	36	7673.54782888695	6009.37933687476	1839.94766842703	453.831340135106	148.683285957204	50.8126393016309	6.30557516249079	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.34175
Trichoferus bergeri	Coleoptera	Cerambycidae	8	9	4127.68526247123	3940.54240034346	1494.44420585365	331.396366566372	35.9605987792095	7.86491759787525	0.492741237252996	TRUE	FALSE	FALSE	PT	VU	TRUE	0.21871
Zodarion spinibarbe	Araneae	Zodariidae	40	50	8436.64113720762	6715.45676848521	1871.54617703132	466.174847871829	212.970222462228	46.2219497425521	10.1832201740004	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.21703
Agapanthia cynarae michaeli	Coleoptera	Cerambycidae	13	18	4031.5934489904	3954.32269382674	1597.67997922023	325.015370843007	68.0448729568916	16.042792715325	4.09739090065929	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.23577
Alevonota cretica	Coleoptera	Staphylinidae	10	13	1888.47286741914	1852.87876289046	854.094787774061	106.699686510281	63.9915789896387	38.1862454447409	4.6671839695035	TRUE	FALSE	FALSE	PT	VU	TRUE	0.59674
Allotyphlus foedatus	Coleoptera	Staphylinidae	7	19	653.742859209994	653.742859209994	350.794305129848	14.4449711820047	76.1949661493227	28.0502488778177	2.98924058126642	TRUE	FALSE	FALSE	PT	VU	TRUE	0.36814
Aloconota brachyptera	Coleoptera	Staphylinidae	4	4	588.381280158008	588.381280158008	298.560982668489	55.3710102698834	19.9951623849367	16.040010034606	5.35558686188524	TRUE	TRUE	FALSE	LT	EN	TRUE	0.80219
Amauronyx occidens	Coleoptera	Staphylinidae	1	2	NA	NA	NA	NA	8.02207105762063	7.44219923012673	1.5172790211363	TRUE	TRUE	TRUE	LT	CR	TRUE	0.92772
Aneugmenus oertzeni	Hymenoptera	Tenthredinidae	9	13	1305.36568944262	1133.57886734043	294.237730383353	39.4416598716441	48.1240485879426	20.7648270594702	0.256733823551115	TRUE	FALSE	FALSE	PT	VU	TRUE	0.43149
Astenus minos	Coleoptera	Staphylinidae	2	4	20.8803060189621	20.8803060189621	3.73292439317335	1.54034675296092	8.02645805809119	4.01268061709742	0.241271662567556	TRUE	TRUE	FALSE	LT	EN	TRUE	0.49993
Beraeamyia aphyrte	Trichoptera	Leptoceridae	8	9	1102.2607917636701	1102.2607917636701	552.241926216711	58.3835983019574	40.1099549060322	14.6080970592696	0.533042021055539	TRUE	FALSE	FALSE	PT	VU	TRUE	0.3642
Bryaxis meybohmianus	Coleoptera	Staphylinidae	10	32	1585.46535393863	1548.57792658835	683.677755568755	68.4680751510368	92.2620795927336	38.4936640511849	3.408522079174	TRUE	FALSE	FALSE	PT	VU	TRUE	0.41722
Dendarus graecus	Coleoptera	Tenebrionidae	27	151	4502.82737943844	4177.7043754304505	1526.60269226285	309.230127694288	259.886696059303	214.090652327778	31.6101435055073	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.82378
Deroplia troberti cruciata	Coleoptera	Cerambycidae	3	4	258.621727136915	252.784223116812	92.2420359909282	0	12.0312689172391	10.2391656028072	0	TRUE	TRUE	FALSE	LT	EN	TRUE	0.85105
Gabrius candicus	Coleoptera	Staphylinidae	1	1	NA	NA	NA	NA	4.01059326778206	4.01059326778288	0.0913132877143518	TRUE	TRUE	TRUE	LT	CR	TRUE	1
Hydropsyche rhadamanthys	Trichoptera	Hydropsychidae	21	28	6304.84424721081	5648.37931100847	1740.86654480335	395.722917673404	124.513042903393	29.6061015011078	8.1530408963254	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.23778
Hydropsyche sarpedon	Trichoptera	Hydropsychidae	13	18	3133.89744032922	3096.35311330257	1286.99983093869	277.754697031025	63.9462546623698	20.754631106002	2.56670902929664	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.32456
Isotomus jarmilae	Coleoptera	Cerambycidae	7	11	468.287584812677	468.287584812677	242.882995023482	34.0236937583903	28.1015520791446	13.6868719866991	3.73696710915076	TRUE	FALSE	FALSE	PT	VU	TRUE	0.48705
Julodis pubescens yvenii	Coleoptera	Buprestidae	37	45	12063.1093563304	7246.23445666277	2073.69242502466	535.2937837459	200.073913667526	43.2646180068127	17.3585037270642	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.21624
Kenotyphlus virgatus	Coleoptera	Staphylinidae	5	8	318.831582555706	318.831582555748	189.583814282814	0.397368958921382	36.0958286230183	20.8708078768831	0.0502737360905766	TRUE	TRUE	FALSE	LT	EN	TRUE	0.57821
Laena oertzeni	Coleoptera	Tenebrionidae	2	2	NA	NA	NA	NA	8.0275689659859	5.90206351354069	2.65854044828834	TRUE	TRUE	FALSE	LT	EN	TRUE	0.73522
Latipalpis margotana	Coleoptera	Buprestidae	8	10	1505.3673600283	1502.89582761279	749.698104222339	107.559702840888	44.165796019843	16.4460900179009	0.588819366193054	TRUE	FALSE	FALSE	PT	VU	TRUE	0.37237
Leptomastax cretica	Coleoptera	Staphylinidae	10	21	1816.35121749568	1816.35121749568	882.210674023177	153.904098313889	83.9525121161541	69.142934403822	19.3998759335748	TRUE	FALSE	FALSE	PT	VU	TRUE	0.8236
Medon beroni	Coleoptera	Staphylinidae	5	11	2044.83057667232	1958.75948410541	795.362612845913	117.98694587562	39.9539631937519	5.48914061072024	0.0436112882784517	TRUE	TRUE	FALSE	LT	EN	TRUE	0.13739
Medon cerrutii	Coleoptera	Staphylinidae	21	43	3960.99780462522	3781.66493751727	1474.61000320054	259.389060213546	179.847315903573	25.7173864812582	15.704858513654	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.143
Myrmecopora fornicata	Coleoptera	Staphylinidae	2	4	24.7622425887619	24.7622425887619	0	0	16.0537197587836	0.705453362725292	1.15956382137844	TRUE	TRUE	FALSE	LT	EN	TRUE	0.04394
Oxyethira mithi	Trichoptera	Hydroptilidae	12	13	4382.25114985244	4210.5030822426	1438.85662129312	338.155483226162	51.9955635399912	16.5866359496513	0.42216612231789	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.319
Oxypoda retunsa	Coleoptera	Staphylinidae	7	8	1001.39532348047	1001.39532348041	440.246405839015	79.3031508090736	31.993077132987	23.4745005585808	3.97250545494111	TRUE	FALSE	FALSE	PT	VU	TRUE	0.73374
Pedostrangalia ariadne	Coleoptera	Cerambycidae	7	13	973.122517058289	973.122517058306	441.858814012462	76.6281109328734	35.9755470681205	14.1623206512765	4.43668814767298	TRUE	FALSE	FALSE	PT	VU	TRUE	0.39367
Phytoecia coerulescens cretensis	Coleoptera	Cerambycidae	20	31	4182.3124071565	4070.15356635672	1552.13476686969	297.16615284306	108.441454642007	35.5132141742807	5.95728908787538	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.32749
Pogonocherus perroudi brevipilosus	Coleoptera	Cerambycidae	1	1	NA	NA	NA	NA	4.01202303074821	0	0.885576946592517	TRUE	TRUE	TRUE	LT	CR	TRUE	0
Proteinus creticus	Coleoptera	Staphylinidae	14	32	2773.56995576137	2744.0146762838	1202.74901142131	184.337501933385	132.000750998553	95.5847147479648	18.9358699638703	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.72412
Pseudosphegesthes bergeri	Coleoptera	Cerambycidae	3	5	14.6994974223839	14.6994974224424	10.2869556402636	0.198364747575324	12.0378439659013	9.09857176113829	0.653135951347807	TRUE	TRUE	FALSE	LT	EN	TRUE	0.75583
Ptosima undecimmaculata metallescens	Coleoptera	Buprestidae	16	18	5190.47799576248	4554.38071983089	1458.35515543568	281.546995424864	75.9242763615584	24.1737287538956	2.90433583171069	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.31839
Scopaeus muehlei	Coleoptera	Staphylinidae	5	5	2338.80382555509	2332.78826130848	1028.43557329685	193.864125314861	19.9909594532469	7.98640853909375	2.76206136044818	TRUE	TRUE	FALSE	LT	EN	TRUE	0.3995
Scydmoraphes ziegleri	Coleoptera	Staphylinidae	7	8	1825.3573277575	1666.30390825216	643.005849236404	103.951629244551	32.0104624668008	5.14264621203853	5.54416954226558	TRUE	FALSE	FALSE	PT	VU	TRUE	0.16066
Stenichnus aegialioides	Coleoptera	Staphylinidae	12	16	2402.11930465477	2316.18396206303	986.473643626205	134.492494903958	68.2405210359045	23.3525553995308	2.3632204043766	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.34221
Stenichnus basimpressus	Coleoptera	Staphylinidae	6	7	766.376257730839	758.562948282039	390.833193564046	57.944587276816	24.0915089467613	17.2652674175291	3.24454027356795	TRUE	FALSE	FALSE	PT	VU	TRUE	0.71665
Stictoleptura picticornis	Coleoptera	Cerambycidae	10	20	2653.82129274611	2651.52773350284	1236.4527892398	243.715073497852	63.9724201641913	32.3675670347058	4.64773651389245	TRUE	FALSE	FALSE	PT	VU	TRUE	0.50596
Stictoleptura slamai	Coleoptera	Cerambycidae	5	7	2138.71856946214	2089.97130720671	948.757458337555	199.535159661913	20.0807393992216	12.020664894735	4.02577459807725	TRUE	TRUE	FALSE	LT	EN	TRUE	0.59862
Tinodes aligi	Trichoptera	Psychomiidae	6	12	233.429738204832	233.429738204832	54.9702276135595	4.11152275540507	52.140106532104	5.77201319499001	0	TRUE	FALSE	FALSE	PT	VU	TRUE	0.1107
Walckenaeria cretaensis	Araneae	Linyphiidae	19	22	5532.5315657751	4511.43381509581	1478.62608634941	309.227095605177	96.2883022519337	26.4703401791522	7.93941228374896	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.27491
Xantholinus creticus	Coleoptera	Staphylinidae	6	7	799.372440331451	799.269465389148	401.905097641349	18.6497030187489	28.079338084771	13.9412036126102	2.94822150532613	TRUE	FALSE	FALSE	PT	VU	TRUE	0.49649
Xantholinus erinaceus	Coleoptera	Staphylinidae	14	19	3773.00266603887	3416.57124747252	1208.49140732666	245.541164905388	72.2278685510058	21.1163463465021	5.63037028285645	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.29236
Boyeria cretensis	Odonata	Aeshnidae	15	24	3991.51393200002	3773.70799166316	1227.75352536445	232.673174851415	92.3281754567718	19.2147435588058	1.63754018746304	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.20811
Cephennium chanianum	Coleoptera	Staphylinidae	2	8	99.1134059929747	99.1134059929789	19.0200051217434	0	36.0847431958555	10.2582539897284	0	TRUE	TRUE	FALSE	LT	EN	TRUE	0.28428
Dysderocrates marani	Araneae	Dysderidae	8	17	1864.85848701903	1824.26021236243	752.041929911289	115.812874361909	64.1956925629725	43.1863121862127	8.19195550413021	TRUE	FALSE	FALSE	PT	VU	TRUE	0.67273
Harpactea catholica	Araneae	Dysderidae	8	10	2011.1762566487	1551.99343114821	520.18552513112	44.450188316437	44.1242812169759	21.5545987240544	4.7243734883009	TRUE	FALSE	FALSE	PT	VU	TRUE	0.4885
Nebrioporus amicorum	Coleoptera	Dytiscidae	14	15	4076.48634950044	3616.2151483623	1386.50243703118	256.786943328349	60.2155707764653	7.35019465094684	0.365858182249554	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.12206
Plectrocnemia conspersa keftiu	Trichoptera	Polycentropidae	7	9	820.59799089578	820.59799089578	352.945135716119	33.0775015369265	36.0904448910598	8.97254238822717	0	TRUE	FALSE	FALSE	PT	VU	TRUE	0.24861
Rhyparochromus creticus	Heteroptera	Lygaeidae	7	7	3844.07642597913	2380.09916807622	335.00472030472	113.79674519516	28.0967038071735	6.87543659426467	0.307448653775894	TRUE	FALSE	FALSE	PT	VU	TRUE	0.24471
Ryacophila gudrunae	Trichoptera	Ryacophilidae	4	6	114.236432564971	114.236432564971	63.164468902961	26.1175185133566	24.0712493106258	12.6190773838028	1.29626542016551	TRUE	TRUE	FALSE	LT	EN	TRUE	0.52424
Saitis ariadneae	Araneae	Salticidae	8	9	3297.57132322107	2974.03350851619	1011.02098810465	167.308600415605	36.1387402660198	18.4302152211078	0.0497848157573462	TRUE	FALSE	FALSE	PT	VU	TRUE	0.50998
Temnothorax proteii	Hymenoptera	Formicidae	23	33	5106.85896559897	4609.37623076962	1394.37099970019	281.552398776489	144.603076722564	41.9629330391282	12.9974242366826	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.29019
Perotis margotana	Coleoptera	Buprestidae	31	44	6652.36447443619	5805.78760208763	1509.3567052057101	348.558995417561	180.719015002636	30.9219251360421	14.0394507904494	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.1711
Aelurillus leipoldae	Araneae	Salticidae	19	21	9102.50223817256	5866.93757945405	1786.706453221	385.054005600021	84.0470766651992	43.8327846358622	10.4515332067926	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.52153
Athripsodes longispinosus paleochora	Trichoptera	Leptoceridae	6	7	2246.49419175699	1939.17375796727	884.201207971202	174.239126286988	27.9913952061869	7.93915353604721	0.277760031352061	TRUE	FALSE	FALSE	PT	VU	TRUE	0.28363
Calopteryx splendens cretensis	Odonata	"Calopterygidae

Calopterygidae"	10	13	1760.38164111312	1716.80247609091	812.170223542097	173.08093024987	44.1676451191338	7.87872973230729	0	TRUE	FALSE	FALSE	PT	VU	TRUE	0.17838
Leptobium creticum	Coleoptera	Staphylinidae	22	37	3936.19339780236	3763.13618290031	1694.65671789885	318.853967656104	176.022005910039	109.149907092674	16.0700599248872	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.62009
Tentyria rotundata paganettii	Coleoptera	Tenebrionidae	7	16	8238.85912791616	5925.48926596341	1911.83197305697	456.75394941549	52.1321347460659	9.61660212853952	4.97932374096813	TRUE	FALSE	FALSE	PT	VU	TRUE	0.18447
Tinodes reisseri	Trichoptera	Psychomiidae	24	32	6544.2550700248	5830.3690123382	1810.17638745135	431.426732329692	132.033375527467	33.2711549662708	6.12885794988014	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.25199
Acmaeodera bartoni	Coleoptera	Buprestidae	14	23	2682.58851227357	2664.30299513174	1288.93985547107	256.081372261107	91.9675501055549	46.9259171034663	4.1241160796378	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.51024
Acmaeoderella stepaneki	Coleoptera	Buprestidae	8	9	4052.32134308385	3862.75724880171	1455.10679210321	273.436116261954	35.9765011495443	12.0165671400758	0.615591227242041	TRUE	FALSE	FALSE	PT	VU	TRUE	0.33401
Anthaxia nigrojubata inexpectata	Coleoptera	Buprestidae	8	12	1282.15797674043	1280.56046586877	632.918032257411	103.916260398623	55.9461480117767	42.2261898299247	6.08887407319281	TRUE	FALSE	FALSE	PT	VU	TRUE	0.75476
Aplocera cretica	Lepidoptera	Geometridae	17	18	4154.35669773127	4050.37595654465	1451.38648649662	291.21775724121	68.0141955624507	24.0908257167604	6.62077045746992	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.3542
Cephennium selinonum	Coleoptera	Staphylinidae	1	1	NA	NA	NA	NA	4.0131193190404	0	0	TRUE	TRUE	TRUE	LT	CR	TRUE	0
Cyllecoris ernsti	Heteroptera	Miridae	3	3	164.825344416482	164.825344416482	75.7678887297068	17.9058256201809	12.0530543981005	4.01987478020137	0	TRUE	TRUE	FALSE	LT	EN	TRUE	0.33352
Lasius tapinomoides	Hymenoptera	Formicidae	8	9	2548.81319279673	2471.23794144451	1074.03807446952	217.807714216371	39.989202371221	7.30271655520949	4.10255528224054	TRUE	FALSE	FALSE	PT	VU	TRUE	0.18262
Macrothele cretica	Araneae	Hexathelidae	11	16	1248.46916064594	1227.99002305188	546.08711829953	65.6791609027213	68.2206620289283	29.7607475154146	2.32430705375458	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.43624
Pholcus spiliensis	Araneae	Pholcidae	9	13	3218.10698518576	2978.27163638329	1172.21682237934	256.900625754944	44.1846477681474	25.6049072293281	0.567656825873204	TRUE	FALSE	FALSE	PT	VU	TRUE	0.5795
Prionobius myardi proksi	Coleoptera	Cerambycidae	11	15	4155.53503160837	3820.65154360508	1372.0895910438	293.792179789239	55.9763517430097	13.3992651776036	5.73833334013235	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.23937
Scydmoraphes minotauri	Coleoptera	Staphylinidae	8	8	1671.56415958143	1659.92193268727	769.442695286857	99.940676057993	31.9776133733758	4.95889521932822	2.20983419846812	TRUE	FALSE	FALSE	PT	VU	TRUE	0.15507
Stenophylax minoicus	Trichoptera	Hydropsychidae	11	14	2538.07309585638	2458.38803945488	858.349076220554	142.902702028889	55.9925140050419	28.5981003042863	2.17955728556621	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.51075
Coenagrion intermedium	Odonata	Coenagrionidae	11	13	3407.3363175449	3207.24014071475	832.83145386006	205.13195074884499	52.2033728196803	9.66867598992817	0.203646574574681	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.18521
Dysdera neocretica	Araneae	Dysderidae	3	3	243.242704537154	192.550906278879	13.7219464021719	4.45851972569955	12.0390999533171	0	0	TRUE	TRUE	FALSE	LT	EN	TRUE	0
