order	threatened	n	source
Blattodea	TRUE	15	world_redlist
Calanoida	FALSE	20	world_redlist
Calanoida	TRUE	49	world_redlist
Chordeumatida	FALSE	1	world_redlist
Coleoptera	FALSE	1429	world_redlist
Coleoptera	TRUE	384	world_redlist
Cyclopoida	FALSE	6	world_redlist
Cyclopoida	TRUE	7	world_redlist
Decapoda	FALSE	2406	world_redlist
Decapoda	TRUE	494	world_redlist
Dermaptera	FALSE	3	world_redlist
Dermaptera	TRUE	4	world_redlist
Diplostraca	TRUE	12	world_redlist
Diptera	FALSE	175	world_redlist
Diptera	TRUE	190	world_redlist
Entomobryomorpha	FALSE	3	world_redlist
Entomobryomorpha	TRUE	2	world_redlist
Ephemeroptera	FALSE	2	world_redlist
Ephemeroptera	TRUE	1	world_redlist
Euphasiacea	FALSE	1	world_redlist
Geophilomorpha	FALSE	1	world_redlist
Geophilomorpha	TRUE	5	world_redlist
Grylloblattodea	FALSE	1	world_redlist
Grylloblattodea	TRUE	4	world_redlist
Halocyprida	TRUE	1	world_redlist
Harpacticoida	FALSE	4	world_redlist
Harpacticoida	TRUE	18	world_redlist
Hemiptera	FALSE	16	world_redlist
Hemiptera	TRUE	45	world_redlist
Holothyroidae	FALSE	1	world_redlist
Holothyroidae	TRUE	3	world_redlist
Hymenoptera	FALSE	450	world_redlist
Hymenoptera	TRUE	186	world_redlist
Isopoda	FALSE	5	world_redlist
Isopoda	TRUE	40	world_redlist
Isoptera	FALSE	2	world_redlist
Isoptera	TRUE	2	world_redlist
Lepidoptera	FALSE	1380	world_redlist
Lepidoptera	TRUE	258	world_redlist
Lithobiomorpha	TRUE	3	world_redlist
Mantodea	FALSE	34	world_redlist
Mantodea	TRUE	4	world_redlist
Mictacea	TRUE	1	world_redlist
Misophrioida	TRUE	2	world_redlist
Myodocopida	TRUE	1	world_redlist
Mysida	TRUE	2	world_redlist
Neuroptera	FALSE	3	world_redlist
Notostraca	TRUE	5	world_redlist
Odonata	FALSE	5515	world_redlist
Odonata	TRUE	708	world_redlist
Opiliones	FALSE	5	world_redlist
Opiliones	TRUE	17	world_redlist
Oribatida	FALSE	22	world_redlist
Oribatida	TRUE	1	world_redlist
Orthoptera	FALSE	968	world_redlist
Orthoptera	TRUE	527	world_redlist
Phasmida	FALSE	96	world_redlist
Phasmida	TRUE	8	world_redlist
Phthiraptera	TRUE	1	world_redlist
Platycopioida	TRUE	2	world_redlist
Plecoptera	FALSE	3	world_redlist
Plecoptera	TRUE	4	world_redlist
Podocopida	FALSE	2	world_redlist
Podocopida	TRUE	9	world_redlist
Poduromorpha	FALSE	2	world_redlist
Poduromorpha	TRUE	2	world_redlist
Polydesmida	FALSE	1	world_redlist
Polydesmida	TRUE	4	world_redlist
Polyzoniida	TRUE	4	world_redlist
Pseudoscorpiones	FALSE	5	world_redlist
Pseudoscorpiones	TRUE	11	world_redlist
Psocoptera	FALSE	2	world_redlist
Schizomida	FALSE	2	world_redlist
Schizomida	TRUE	4	world_redlist
Scolopendromorpha	TRUE	1	world_redlist
Scorpiones	TRUE	3	world_redlist
Scutigeromorpha	TRUE	1	world_redlist
Sessilia	FALSE	2	world_redlist
Siphonaptera	TRUE	1	world_redlist
Siphonophorida	TRUE	3	world_redlist
Sphaerotheriida	FALSE	57	world_redlist
Sphaerotheriida	TRUE	21	world_redlist
Spirobolida	FALSE	41	world_redlist
Spirobolida	TRUE	35	world_redlist
Spirostreptida	FALSE	62	world_redlist
Spirostreptida	TRUE	14	world_redlist
Stemmiulida	TRUE	1	world_redlist
Thysanoptera	TRUE	1	world_redlist
Trichoptera	FALSE	5	world_redlist
Xiphosura	FALSE	2	world_redlist
Xiphosura	TRUE	2	world_redlist
