sci_name	gbifid.ids	gbifid.class	gbifid.match	gbifid.multiple_matches	gbifid.pattern_match	gbifid.uri
Progomphus tibialis	1425852	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1425852
Progomphus victor	1425841	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1425841
Progomphus virginiae	1425806	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1425806
Progomphus zonatus	1425844	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1425844
Zonophora diversa	1426443	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1426443
Zonophora solitaria	1426458	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1426458
Zonophora wucherpfennigi	1426457	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1426457
Heteragrion ovatum	1424399	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1424399
Oxystigma caerulans	5051707	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/5051707
Oxystigma cyanofrons	5051709	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/5051709
Lauromacromia bedei	1429771	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1429771
Lauromacromia luismoojeni	1429770	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1429770
Lauromacromia melanica	8039485	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/8039485
Lauromacromia picinguaba	1429772	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1429772
Neocordulia biancoi	1429685	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1429685
Neocordulia campana	1429683	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1429683
Neocordulia carlochagasi	1429682	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1429682
Neocordulia fiorentini	11377648	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/11377648
Neocordulia gaucha	11374244	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/11374244
